,,Martin Heinrich,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,
Precinct,207,268,211,479,479
Precinct,208,256,171,427,427
Precinct,209,396,249,645,645
Precinct,210,375,217,592,592
Precinct,211,117,42,159,159
Precinct,212,280,113,393,393
Precinct,213,391,175,566,566
Precinct,214,306,66,372,372
Precinct,215,196,35,231,231
Precinct,216,289,92,381,381
Precinct,217,335,319,654,654
Precinct,218,294,237,531,531
Precinct,219,343,254,597,597
Precinct,220,265,265,530,530
Precinct,221,509,122,631,631
Precinct,222,310,238,548,548
Precinct,223,168,30,198,198
Precinct,224,160,37,197,197
Precinct,225,94,28,122,122
Precinct,226,180,47,227,227
Precinct,227,294,273,567,567
Precinct,228,345,315,660,660
Precinct,229,282,349,631,631
Precinct,230,264,240,504,504
Precinct,231,354,278,632,632
Precinct,232,385,232,617,617
Precinct,233,112,56,168,168
Precinct,234,327,152,479,479
Precinct,235,399,142,541,541
Precinct,236,158,103,261,261
Precinct,237,248,160,408,408
Precinct,238,154,149,303,303
Precinct,239,305,155,460,460
Precinct,240,287,175,462,462
Precinct,241,223,59,282,282
Precinct,242,282,57,339,339
Precinct,243,363,67,430,430
Precinct,244,485,68,553,553
Precinct,245,352,50,402,402
Precinct,246,192,64,256,256
Precinct,247,312,199,511,511
Precinct,248,195,146,341,341
Precinct,249,389,285,674,674
Precinct,250,239,232,471,471
Precinct,251,313,53,366,366
Precinct,252,411,73,484,484
Precinct,253,585,116,701,701
Precinct,254,486,91,577,577
Precinct,255,455,109,564,564
Precinct,256,415,62,477,477
Precinct,257,194,93,287,287
Precinct,258,86,104,190,190
Precinct,259,141,103,244,244
Precinct,260,186,151,337,337
Precinct,261,260,207,467,467
Precinct,262,214,127,341,341
Precinct,263,287,139,426,426
Precinct,264,325,307,632,632
Precinct,265,283,199,482,482
Precinct,266,252,81,333,333
Precinct,267,279,168,447,447
Precinct,268,160,103,263,263
Precinct,269,190,119,309,309
Precinct,270,232,210,442,442
Precinct,271,436,113,549,549
Precinct,272,387,70,457,457
Precinct,273,522,160,682,682
Precinct,274,310,53,363,363
Precinct,275,193,90,283,283
