,,Martin Heinrich,Nella Louise Domenici,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,,
Precinct,17,358,287,645,645
Precinct,18,401,218,619,619
Precinct,19,265,295,560,560
Precinct,20,353,322,675,675
Precinct,21,163,146,309,309
Precinct,22,399,393,792,792
Precinct,23,263,200,463,463
Precinct,24,340,217,557,557
Precinct,25,226,117,343,343
Precinct,26,263,181,444,444
Precinct,27,245,153,398,398
Precinct,28,342,146,488,488
Precinct,29,137,81,218,218
Precinct,30,254,137,391,391
Precinct,31,310,126,436,436
Precinct,32,56,40,96,96
Precinct,33,254,150,404,404
Precinct,34,212,119,331,331
Precinct,35,172,73,245,245
Precinct,36,116,54,170,170
Precinct,37,255,85,340,340
Precinct,38,138,93,231,231
Precinct,39,267,155,422,422
Precinct,40,330,240,570,570
Precinct,41,157,59,216,216
Precinct,42,147,66,213,213
Precinct,43,181,97,278,278
Precinct,44,193,127,320,320
Precinct,45,227,137,364,364
Precinct,46,155,93,248,248
Precinct,47,270,143,413,413
Precinct,48,308,154,462,462
Precinct,49,197,133,330,330
Precinct,50,161,65,226,226
Precinct,51,224,132,356,356
Precinct,52,288,166,454,454
Precinct,53,261,147,408,408
Precinct,54,144,51,195,195
Precinct,55,402,256,658,658
Precinct,56,252,138,390,390
Precinct,57,297,222,519,519
Precinct,58,219,93,312,312
Precinct,59,365,320,685,685
Precinct,60,43,95,138,138
Precinct,61,392,229,621,621
Precinct,62,220,222,442,442
Precinct,63,307,406,713,713
Precinct,64,147,178,325,325
Precinct,65,219,178,397,397
Precinct,66,256,276,532,532
Precinct,67,419,260,679,679
Precinct,68,212,133,345,345
Precinct,69,284,173,457,457
Precinct,70,202,143,345,345
Precinct,71,314,173,487,487
Precinct,72,134,117,251,251
Precinct,73,278,214,492,492
Precinct,74,187,256,443,443
Precinct,75,210,231,441,441
Precinct,76,173,151,324,324
Precinct,77,246,161,407,407
Precinct,78,312,234,546,546
Precinct,79,312,265,577,577
Precinct,80,171,80,251,251
Precinct,81,71,96,167,167
Precinct,82,262,164,426,426
Precinct,83,237,197,434,434
Precinct,84,247,289,536,536
Precinct,85,290,276,566,566
Precinct,86,345,311,656,656
Precinct,87,170,247,417,417
Precinct,88,132,93,225,225
Precinct,89,288,244,532,532
Precinct,90,322,223,545,545
Precinct,91,239,180,419,419
Precinct,92,104,51,155,155
Precinct,93,98,44,142,142
Precinct,94,211,82,293,293
Precinct,95,38,69,107,107
Precinct,96,325,395,720,720
Precinct,97,228,155,383,383
Precinct,98,192,274,466,466
Precinct,99,263,240,503,503
Precinct,100,244,274,518,518
Precinct,101,224,216,440,440
Precinct,102,300,235,535,535
Precinct,103,364,225,589,589
Precinct,104,252,130,382,382
Precinct,105,403,359,762,762
Precinct,106,307,262,569,569
Precinct,107,388,341,729,729
Precinct,108,172,161,333,333
Precinct,109,266,151,417,417
Precinct,110,404,283,687,687
Precinct,111,34,91,125,125
Precinct,112,315,274,589,589
Precinct,113,361,238,599,599
Precinct,114,256,209,465,465
Precinct,115,290,438,728,728
Precinct,116,362,310,672,672
Precinct,117,299,223,522,522
Precinct,118,250,230,480,480
Precinct,119,304,293,597,597
Precinct,120,31,47,78,78
Precinct,121,167,137,304,304
Precinct,122,279,281,560,560
Precinct,123,213,401,614,614
Precinct,124,251,275,526,526
Precinct,125,510,461,971,971
Precinct,126,346,240,586,586
Precinct,127,366,252,618,618
Precinct,128,260,266,526,526
Precinct,129,320,231,551,551
Precinct,130,356,398,754,754
Precinct,131,296,231,527,527
Precinct,132,196,177,373,373
Precinct,133,215,194,409,409
Precinct,134,194,209,403,403
Precinct,135,270,162,432,432
Precinct,136,229,197,426,426
Precinct,137,341,222,563,563
Precinct,138,208,134,342,342
Precinct,139,478,310,788,788
Precinct,140,288,240,528,528
Precinct,141,339,273,612,612
Precinct,142,175,177,352,352
Precinct,143,370,293,663,663
Precinct,144,177,111,288,288
Precinct,145,84,72,156,156
Precinct,146,231,273,504,504
Precinct,147,207,127,334,334
Precinct,148,363,220,583,583
Precinct,149,254,122,376,376
Precinct,150,286,184,470,470
Precinct,151,235,165,400,400
Precinct,152,274,213,487,487
Precinct,153,292,204,496,496
Precinct,154,252,126,378,378
Precinct,155,119,93,212,212
Precinct,156,161,71,232,232
Precinct,157,340,176,516,516
Precinct,158,225,108,333,333
Precinct,159,217,106,323,323
Precinct,160,135,71,206,206
Precinct,161,152,184,336,336
Precinct,162,539,375,914,914
Precinct,163,181,172,353,353
Precinct,164,273,173,446,446
Precinct,165,163,188,351,351
Precinct,166,318,273,591,591
Precinct,167,211,92,303,303
Precinct,168,236,122,358,358
Precinct,169,224,117,341,341
Precinct,170,353,153,506,506
Precinct,171,490,397,887,887
Precinct,172,490,388,878,878
Precinct,173,234,194,428,428
Precinct,174,215,140,355,355
Precinct,175,292,260,552,552
Precinct,176,423,327,750,750
Precinct,177,204,169,373,373
Precinct,178,235,222,457,457
Precinct,179,193,160,353,353
Precinct,180,115,116,231,231
Precinct,181,284,248,532,532
Precinct,182,254,256,510,510
Precinct,183,181,170,351,351
Precinct,184,168,146,314,314
Precinct,185,175,201,376,376
Precinct,186,184,123,307,307
Precinct,187,223,182,405,405
Precinct,188,170,189,359,359
Precinct,189,181,188,369,369
Precinct,190,282,143,425,425
Precinct,Voter Privacy,0,0,0,0
County,Eddy,5979,16775,22754,22754
Precinct,1,47,285,332,332
Precinct,2,43,253,296,296
Precinct,3,111,254,365,365
Precinct,4,105,401,506,506
Precinct,5,62,458,520,520
Precinct,6,76,398,474,474
Precinct,7,118,655,773,773
Precinct,8,71,578,649,649
Precinct,9,169,364,533,533
Precinct,10,244,213,457,457
Precinct,11,122,150,272,272
Precinct,12,50,54,104,104
Precinct,13,221,245,466,466
Precinct,14,114,121,235,235
Precinct,15,194,269,463,463
Precinct,16,200,373,573,573
Precinct,17,210,396,606,606
Precinct,18,183,374,557,557
Precinct,19,160,308,468,468
Precinct,20,134,260,394,394
Precinct,21,105,174,279,279
Precinct,22,175,279,454,454
Precinct,23,157,279,436,436
Precinct,24,92,454,546,546
Precinct,25,73,159,232,232
Precinct,26,126,292,418,418
Precinct,27,100,247,347,347
Precinct,28,115,357,472,472
Precinct,29,6,39,45,45
Precinct,30,9,58,67,67
Precinct,31,107,338,445,445
Precinct,32,208,293,501,501
Precinct,33,95,303,398,398
Precinct,34,136,454,590,590
Precinct,35,135,518,653,653
Precinct,36,112,517,629,629
Precinct,37,73,367,440,440
Precinct,38,30,84,114,114
Precinct,39,56,278,334,334
Precinct,40,11,90,101,101
Precinct,41,68,365,433,433
Precinct,42,5,27,32,32
Precinct,43,68,315,383,383
Precinct,44,135,262,397,397
Precinct,45,117,305,422,422
Precinct,46,63,386,449,449
Precinct,47,105,270,375,375
Precinct,48,99,275,374,374
Precinct,49,61,222,283,283
Precinct,50,142,432,574,574
Precinct,51,144,529,673,673
Precinct,52,218,806,1024,1024
Precinct,53,83,262,345,345
Precinct,54,116,330,446,446
Precinct,Voter Privacy,0,0,0,0
County,Grant,7800,6133,13933,13933
Precinct,1,82,301,383,383
Precinct,2,176,216,392,392
Precinct,3,25,7,32,32
Precinct,4,43,43,86,86
Precinct,5,316,386,702,702
Precinct,6,18,25,43,43
Precinct,7,199,175,374,374
Precinct,8,244,290,534,534
Precinct,9,118,67,185,185
Precinct,10,90,79,169,169
Precinct,11,231,333,564,564
Precinct,12,351,278,629,629
Precinct,13,255,245,500,500
Precinct,14,416,222,638,638
Precinct,15,376,234,610,610
Precinct,16,334,217,551,551
Precinct,17,136,127,263,263
Precinct,18,268,89,357,357
Precinct,19,214,107,321,321
Precinct,20,418,127,545,545
Precinct,21,121,31,152,152
Precinct,22,398,184,582,582
Precinct,23,106,94,200,200
Precinct,24,130,96,226,226
Precinct,25,223,81,304,304
Precinct,26,169,101,270,270
Precinct,27,151,74,225,225
Precinct,28,240,116,356,356
Precinct,29,184,121,305,305
Precinct,30,158,263,421,421
Precinct,31,6,32,38,38
Precinct,32,105,37,142,142
Precinct,33,154,188,342,342
Precinct,34,206,132,338,338
Precinct,35,13,44,57,57
Precinct,36,193,202,395,395
Precinct,37,162,231,393,393
Precinct,38,435,298,733,733
Precinct,39,336,240,576,576
Precinct,Voter Privacy,0,0,0,0
County,Guadalupe,1143,735,1878,1878
Precinct,1,396,223,619,619
Precinct,2,175,112,287,287
Precinct,3,254,222,476,476
Precinct,4,106,60,166,166
Precinct,5,212,118,330,330
Precinct,Voter Privacy,0,0,0,0
County,Harding,138,282,420,420
Precinct,1,39,100,139,139
Precinct,2,96,151,247,247
Precinct,3,*,31,31,31
Precinct,Voter Privacy,*,*,*,3
County,Hidalgo,785,980,1765,1765
Precinct,1 - Lordsburg West,129,144,273,273
Precinct,2 - Lordsburg Central,116,68,184,184
Precinct,3 - Lordsburg East,*,*,0,0
Precinct,4 - Virden,34,148,182,182
Precinct,5 - Rodeo,68,66,134,134
Precinct,6 - Animas,21,125,146,146
Precinct,7 - Lordsburg Northwest,28,44,72,72
Precinct,8 - South Animas/South Lordsburg,56,107,163,163
Precinct,9 - Animas Central,12,69,81,81
Precinct,10 - Lordsburg Northeast,87,46,133,133
Precinct,11 - Lordsburg Southwest,214,109,323,323
Precinct,12 - Lordsburg,20,54,74,74
Precinct,Voter Privacy,0,0,0,0
County,Lea,4563,15852,20415,20415
Precinct,2,*,22,22,22
Precinct,3,76,436,512,512
Precinct,8,67,215,282,282
Precinct,9,74,367,441,441
Precinct,10,117,586,703,703
Precinct,11,92,232,324,324
Precinct,12,68,177,245,245
Precinct,13,100,407,507,507
Precinct,14,139,330,469,469
Precinct,15,85,426,511,511
Precinct,16,91,134,225,225
Precinct,17,78,203,281,281
Precinct,18,44,271,315,315
Precinct,19,67,383,450,450
Precinct,20,120,437,557,557
Precinct,21,33,225,258,258
Precinct,22,102,436,538,538
Precinct,23,88,306,394,394
Precinct,24,74,344,418,418
Precinct,25,70,363,433,433
Precinct,26,93,394,487,487
Precinct,27,99,537,636,636
Precinct,28,87,253,340,340
Precinct,29,108,394,502,502
Precinct,30,67,239,306,306
Precinct,31,145,379,524,524
Precinct,32,110,327,437,437
Precinct,33,115,344,459,459
Precinct,34,62,109,171,171
Precinct,35,62,120,182,182
Precinct,36,120,219,339,339
Precinct,37,87,393,480,480
Precinct,38,68,306,374,374
Precinct,39,50,261,311,311
Precinct,40,129,344,473,473
Precinct,41,127,356,483,483
Precinct,42,88,331,419,419
Precinct,43,152,417,569,569
Precinct,44,107,285,392,392
Precinct,50,29,126,155,155
Precinct,51,74,127,201,201
Precinct,52,82,161,243,243
Precinct,53,139,128,267,267
Precinct,54,68,134,202,202
Precinct,55,56,92,148,148
Precinct,56,35,299,334,334
Precinct,57,76,456,532,532
Precinct,58,81,50,131,131
Precinct,59,29,45,74,74
Precinct,61,135,208,343,343
Precinct,62,31,211,242,242
Precinct,71,88,394,482,482
Precinct,72,82,519,601,601
Precinct,73,69,353,422,422
Precinct,74,27,241,268,268
Precinct,Voter Privacy,*,*,*,1
County,Lincoln,3270,6706,9976,9976
Precinct,1,47,170,217,217
Precinct,2,112,98,210,210
Precinct,3,133,348,481,481
Precinct,4,129,310,439,439
Precinct,5,109,310,419,419
Precinct,6,265,436,701,701
Precinct,7,162,259,421,421
Precinct,8,94,178,272,272
Precinct,9,165,267,432,432
Precinct,10,84,141,225,225
Precinct,11,197,313,510,510
Precinct,12,88,272,360,360
Precinct,13,142,195,337,337
Precinct,14,142,402,544,544
Precinct,15,61,177,238,238
Precinct,16,51,85,136,136
Precinct,17,81,272,353,353
Precinct,18,72,96,168,168
Precinct,19,44,166,210,210
Precinct,20,89,169,258,258
Precinct,21,194,357,551,551
Precinct,22,53,107,160,160
Precinct,23,44,119,163,163
Precinct,24,147,199,346,346
Precinct,25,196,254,450,450
Precinct,26,165,471,636,636
Precinct,27,38,159,197,197
Precinct,28,15,78,93,93
Precinct,29,151,298,449,449
Precinct,Voter Privacy,0,0,0,0
County,Los Alamos,7761,4365,12126,12126
Precinct,1,394,255,649,649
Precinct,2,316,261,577,577
Precinct,3,311,194,505,505
Precinct,4,265,191,456,456
Precinct,5,245,177,422,422
Precinct,6,192,124,316,316
Precinct,7,320,252,572,572
Precinct,8,347,216,563,563
Precinct,9,417,235,652,652
Precinct,10,335,137,472,472
Precinct,11,359,192,551,551
Precinct,12,126,87,213,213
Precinct,13,388,278,666,666
Precinct,14,422,193,615,615
Precinct,15,377,155,532,532
Precinct,16,433,215,648,648
Precinct,17,450,213,663,663
Precinct,18,242,99,341,341
Precinct,19,330,143,473,473
Precinct,20,240,100,340,340
Precinct,21,332,178,510,510
Precinct,22,481,234,715,715
Precinct,23,439,236,675,675
Precinct,Voter Privacy,0,0,0,0
County,Luna,3547,4205,7752,7752
Precinct,1,105,124,229,229
Precinct,2,222,351,573,573
Precinct,3,191,264,455,455
Precinct,4,246,188,434,434
Precinct,5,177,222,399,399
Precinct,6,270,229,499,499
Precinct,7,211,212,423,423
Precinct,8,287,210,497,497
Precinct,9,263,270,533,533
Precinct,10,152,207,359,359
Precinct,11,222,196,418,418
Precinct,12,281,239,520,520
Precinct,13,229,405,634,634
Precinct,14,242,357,599,599
Precinct,15,56,60,116,116
Precinct,16,161,293,454,454
Precinct,17,142,193,335,335
Precinct,18,90,185,275,275
Precinct,Voter Privacy,0,0,0,0
County,McKinley,17064,8195,25259,25259
Precinct,1,384,124,508,508
Precinct,2,131,76,207,207
Precinct,3,80,36,116,116
Precinct,4,290,107,397,397
Precinct,5,469,162,631,631
Precinct,6,435,146,581,581
Precinct,7,429,145,574,574
Precinct,8,205,69,274,274
Precinct,9,407,139,546,546
Precinct,10,369,116,485,485
Precinct,11,101,57,158,158
Precinct,12,46,16,62,62
Precinct,13,157,67,224,224
Precinct,14,348,238,586,586
Precinct,15,276,126,402,402
Precinct,16,330,158,488,488
Precinct,17,334,274,608,608
Precinct,18,107,45,152,152
Precinct,19,482,214,696,696
Precinct,20,416,216,632,632
Precinct,21,312,176,488,488
Precinct,22,176,90,266,266
Precinct,23,360,151,511,511
Precinct,24,358,197,555,555
Precinct,25,330,135,465,465
Precinct,26,132,229,361,361
Precinct,27,358,29,387,387
Precinct,28,350,49,399,399
Precinct,29,429,46,475,475
Precinct,30,337,56,393,393
Precinct,31,276,199,475,475
Precinct,32,144,73,217,217
Precinct,33,372,178,550,550
Precinct,34,145,87,232,232
Precinct,35,171,94,265,265
Precinct,36,72,29,101,101
Precinct,37,79,35,114,114
Precinct,38,138,78,216,216
Precinct,39,188,147,335,335
Precinct,40,125,84,209,209
Precinct,41,239,126,365,365
Precinct,42,99,69,168,168
Precinct,43,340,275,615,615
Precinct,44,131,133,264,264
Precinct,45,202,179,381,381
Precinct,46,231,192,423,423
Precinct,47,137,68,205,205
Precinct,48,284,147,431,431
Precinct,49,191,126,317,317
Precinct,50,78,68,146,146
Precinct,51,197,69,266,266
Precinct,52,77,119,196,196
Precinct,53,336,114,450,450
Precinct,54,367,196,563,563
Precinct,55,270,96,366,366
Precinct,56,214,198,412,412
Precinct,57,232,124,356,356
Precinct,58,272,210,482,482
Precinct,59,109,86,195,195
Precinct,60,140,62,202,202
Precinct,61,136,46,182,182
Precinct,62,148,63,211,211
Precinct,63,205,113,318,318
Precinct,64,404,57,461,461
Precinct,65,240,160,400,400
Precinct,66,337,38,375,375
Precinct,67,73,13,86,86
Precinct,68,221,76,297,297
Precinct,69,148,81,229,229
Precinct,70,269,167,436,436
Precinct,71,89,31,120,120
Precinct,Voter Privacy,0,0,0,0
County,Mora,1532,866,2398,2398
Precinct,1,285,156,441,441
Precinct,2,269,132,401,401
Precinct,3,140,115,255,255
Precinct,4,132,68,200,200
Precinct,5,150,65,215,215
Precinct,6,70,47,117,117
Precinct,7,99,49,148,148
Precinct,8,154,88,242,242
Precinct,9,48,37,85,85
Precinct,10,82,50,132,132
Precinct,11,103,59,162,162
Precinct,Voter Privacy,0,0,0,0
County,Otero,9229,14147,23376,23376
Precinct,1,74,77,151,151
Precinct,2,5,15,20,20
Precinct,3,*,23,23,23
Precinct,4,*,49,49,49
Precinct,5,60,187,247,247
Precinct,6,12,111,123,123
Precinct,7,41,227,268,268
Precinct,8,239,433,672,672
Precinct,9,192,378,570,570
Precinct,10,129,342,471,471
Precinct,11,226,93,319,319
Precinct,12,254,478,732,732
Precinct,13,242,273,515,515
Precinct,14,184,245,429,429
Precinct,15,154,412,566,566
Precinct,16,52,96,148,148
Precinct,17,174,297,471,471
Precinct,18,95,262,357,357
Precinct,19,137,67,204,204
Precinct,20,105,95,200,200
Precinct,21,178,394,572,572
Precinct,22,120,152,272,272
Precinct,23,162,178,340,340
Precinct,24,204,324,528,528
Precinct,25,188,322,510,510
Precinct,26,180,218,398,398
Precinct,27,200,308,508,508
Precinct,28,89,222,311,311
Precinct,29,171,246,417,417
Precinct,30,163,170,333,333
Precinct,31,152,150,302,302
Precinct,32,178,154,332,332
Precinct,33,204,192,396,396
Precinct,34,115,187,302,302
Precinct,35,123,282,405,405
Precinct,36,312,424,736,736
Precinct,37,165,199,364,364
Precinct,38,52,79,131,131
Precinct,39,186,312,498,498
Precinct,40,159,277,436,436
Precinct,41,101,88,189,189
Precinct,42,159,133,292,292
Precinct,43,72,57,129,129
Precinct,44,124,95,219,219
Precinct,45,92,64,156,156
Precinct,46,128,77,205,205
Precinct,47,191,157,348,348
Precinct,48,234,255,489,489
Precinct,49,212,496,708,708
Precinct,50,205,173,378,378
Precinct,51,228,320,548,548
Precinct,52,125,297,422,422
Precinct,53,149,261,410,410
Precinct,54,147,311,458,458
Precinct,55,132,420,552,552
Precinct,56,207,91,298,298
Precinct,57,149,413,562,562
Precinct,58,8,51,59,59
Precinct,59,100,152,252,252
Precinct,60,109,223,332,332
Precinct,61,105,194,299,299
Precinct,62,173,263,436,436
Precinct,63,129,194,323,323
Precinct,64,119,133,252,252
Precinct,65,133,249,382,382
Precinct,66,19,30,49,49
Precinct,Voter Privacy,*,*,*,3
County,Quay,1174,2406,3580,3580
Precinct,1,10,93,103,103
Precinct,2,*,58,58,58
Precinct,3,47,185,232,232
Precinct,4,*,71,71,71
Precinct,5,121,543,664,664
Precinct,6,63,257,320,320
Precinct,7,211,168,379,379
Precinct,8,91,103,194,194
Precinct,9,212,270,482,482
Precinct,10,117,97,214,214
Precinct,11,192,327,519,519
Precinct,12,102,234,336,336
Precinct,Voter Privacy,8,0,8,8
County,Rio Arriba,10035,5524,15559,15559
Precinct,1,364,119,483,483
Precinct,2,209,65,274,274
Precinct,3,54,34,88,88
Precinct,4,353,274,627,627
Precinct,5,*,*,0,0
Precinct,10,151,124,275,275
Precinct,11,211,178,389,389
Precinct,12,45,22,67,67
Precinct,13,49,21,70,70
Precinct,14,20,8,28,28
Precinct,21,10,7,17,17
Precinct,22,29,113,142,142
Precinct,23,63,103,166,166
Precinct,24,115,103,218,218
Precinct,25,113,78,191,191
Precinct,26,305,145,450,450
Precinct,27,336,122,458,458
Precinct,28,83,43,126,126
Precinct,35,26,27,53,53
Precinct,36,234,236,470,470
Precinct,37,314,196,510,510
Precinct,38,475,285,760,760
Precinct,39,159,119,278,278
Precinct,40,110,67,177,177
Precinct,45,307,170,477,477
Precinct,46,86,39,125,125
Precinct,47,174,73,247,247
Precinct,48,329,92,421,421
Precinct,49,137,27,164,164
Precinct,56,270,115,385,385
Precinct,57,382,150,532,532
Precinct,58,197,140,337,337
Precinct,59,467,93,560,560
Precinct,60,391,92,483,483
Precinct,61,160,106,266,266
Precinct,62,132,65,197,197
Precinct,63,365,224,589,589
Precinct,64,307,201,508,508
Precinct,65,313,151,464,464
Precinct,66,200,163,363,363
Precinct,67,289,205,494,494
Precinct,68,259,162,421,421
Precinct,69,434,268,702,702
Precinct,70,372,247,619,619
Precinct,71,242,108,350,350
Precinct,72,95,44,139,139
Precinct,73,184,83,267,267
Precinct,74,112,17,129,129
Precinct,Voter Privacy,*,*,*,3
County,Roosevelt,1951,4559,6510,6510
Precinct,1,108,202,310,310
Precinct,2,145,356,501,501
Precinct,3,6,41,47,47
Precinct,4,28,199,227,227
Precinct,5,20,183,203,203
Precinct,6,16,239,255,255
Precinct,7,81,99,180,180
Precinct,8,190,153,343,343
Precinct,9,138,272,410,410
Precinct,10,111,175,286,286
Precinct,11,67,221,288,288
Precinct,12,161,237,398,398
Precinct,13,65,86,151,151
Precinct,14,187,285,472,472
Precinct,15,73,147,220,220
Precinct,16,60,121,181,181
Precinct,17,83,284,367,367
Precinct,18,86,378,464,464
Precinct,19,98,305,403,403
Precinct,20,113,291,404,404
Precinct,21,115,285,400,400
Precinct,Voter Privacy,0,0,0,0
County,San Juan,19078,32417,51495,51495
Precinct,1,362,183,545,545
Precinct,2,432,174,606,606
Precinct,3,364,194,558,558
Precinct,4,456,200,656,656
Precinct,5,401,217,618,618
Precinct,6,165,98,263,263
Precinct,7,209,65,274,274
Precinct,8,267,102,369,369
Precinct,9,146,42,188,188
Precinct,10,270,115,385,385
Precinct,11,236,104,340,340
Precinct,12,207,65,272,272
Precinct,13,380,114,494,494
Precinct,14,134,53,187,187
Precinct,15,166,138,304,304
Precinct,16,264,292,556,556
Precinct,17,86,47,133,133
Precinct,18,334,286,620,620
Precinct,19,131,95,226,226
Precinct,20,290,215,505,505
Precinct,21,277,423,700,700
Precinct,22,287,373,660,660
Precinct,23,222,384,606,606
Precinct,24,130,264,394,394
Precinct,25,157,363,520,520
Precinct,26,201,236,437,437
Precinct,27,306,390,696,696
Precinct,28,175,327,502,502
Precinct,29,153,199,352,352
Precinct,30,217,546,763,763
Precinct,31,100,312,412,412
Precinct,32,112,177,289,289
Precinct,33,203,328,531,531
Precinct,34,189,217,406,406
Precinct,35,155,255,410,410
Precinct,36,142,289,431,431
Precinct,37,160,287,447,447
Precinct,38,244,522,766,766
Precinct,39,205,545,750,750
Precinct,40,213,406,619,619
Precinct,41,166,548,714,714
Precinct,42,159,529,688,688
Precinct,43,165,369,534,534
Precinct,44,227,417,644,644
Precinct,45,260,395,655,655
Precinct,46,207,468,675,675
Precinct,47,123,379,502,502
Precinct,48,86,305,391,391
Precinct,49,205,521,726,726
Precinct,50,296,471,767,767
Precinct,51,222,392,614,614
Precinct,52,92,247,339,339
Precinct,53,142,245,387,387
Precinct,54,127,283,410,410
Precinct,55,158,482,640,640
Precinct,56,154,427,581,581
Precinct,57,168,656,824,824
Precinct,58,119,448,567,567
Precinct,59,145,529,674,674
Precinct,60,141,590,731,731
Precinct,61,173,615,788,788
Precinct,62,199,385,584,584
Precinct,63,177,374,551,551
Precinct,64,162,399,561,561
Precinct,65,145,463,608,608
Precinct,66,163,350,513,513
Precinct,67,226,562,788,788
Precinct,68,194,453,647,647
Precinct,69,175,557,732,732
Precinct,70,156,463,619,619
Precinct,71,68,307,375,375
Precinct,72,190,475,665,665
Precinct,73,122,377,499,499
Precinct,74,172,484,656,656
Precinct,75,125,313,438,438
Precinct,76,174,531,705,705
Precinct,77,87,301,388,388
Precinct,78,109,434,543,543
Precinct,79,103,317,420,420
Precinct,80,117,247,364,364
Precinct,81,180,365,545,545
Precinct,82,70,263,333,333
Precinct,83,71,82,153,153
Precinct,90,119,350,469,469
Precinct,99,82,327,409,409
Precinct,100,131,256,387,387
Precinct,101,119,224,343,343
Precinct,102,66,238,304,304
Precinct,103,151,597,748,748
Precinct,104,172,325,497,497
Precinct,105,140,375,515,515
Precinct,106,149,298,447,447
Precinct,107,233,504,737,737
Precinct,108,104,348,452,452
Precinct,109,141,140,281,281
Precinct,110,206,188,394,394
Precinct,120,279,188,467,467
Precinct,121,189,160,349,349
Precinct,130,125,78,203,203
Precinct,131,250,112,362,362
Precinct,132,165,73,238,238
Precinct,133,277,114,391,391
Precinct,134,112,62,174,174
Precinct,Voter Privacy,0,0,0,0
County,San Miguel,7447,3427,10874,10874
Precinct,1,223,56,279,279
Precinct,2,311,93,404,404
Precinct,3,296,70,366,366
Precinct,4,262,159,421,421
Precinct,5,194,96,290,290
Precinct,6,131,84,215,215
Precinct,7,196,116,312,312
Precinct,8,425,120,545,545
Precinct,9,159,110,269,269
Precinct,10,237,122,359,359
Precinct,11,121,56,177,177
Precinct,12,281,148,429,429
Precinct,13,135,60,195,195
Precinct,14,13,30,43,43
Precinct,15,46,108,154,154
Precinct,16,361,229,590,590
Precinct,17,31,8,39,39
Precinct,18,176,64,240,240
Precinct,19,317,115,432,432
Precinct,20,40,24,64,64
Precinct,21,248,107,355,355
Precinct,22,174,90,264,264
Precinct,23,506,300,806,806
Precinct,24,250,106,356,356
Precinct,25,219,77,296,296
Precinct,26,484,155,639,639
Precinct,27,400,175,575,575
Precinct,28,281,143,424,424
Precinct,29,252,85,337,337
Precinct,30,159,57,216,216
Precinct,31,195,99,294,294
Precinct,32,58,45,103,103
Precinct,33,11,21,32,32
Precinct,34,255,99,354,354
Precinct,Voter Privacy,0,0,0,0
County,Sandoval,42473,35959,78432,78432
Precinct,1,288,208,496,496
Precinct,2,235,135,370,370
Precinct,3,313,185,498,498
Precinct,4,236,132,368,368
Precinct,5,251,136,387,387
Precinct,6,247,151,398,398
Precinct,7,188,108,296,296
Precinct,8,262,21,283,283
Precinct,9,253,24,277,277
Precinct,10,273,28,301,301
Precinct,11,342,231,573,573
Precinct,12,270,201,471,471
Precinct,13,270,148,418,418
Precinct,14,239,27,266,266
Precinct,15,332,39,371,371
Precinct,16,84,93,177,177
Precinct,17,113,114,227,227
Precinct,18,211,135,346,346
Precinct,19,214,25,239,239
Precinct,20,363,65,428,428
Precinct,21,129,126,255,255
Precinct,22,147,136,283,283
Precinct,23,93,146,239,239
Precinct,24,179,90,269,269
Precinct,25,417,129,546,546
Precinct,26,177,83,260,260
Precinct,27,59,51,110,110
Precinct,28,366,346,712,712
Precinct,29,236,32,268,268
Precinct,30,348,355,703,703
Precinct,31,269,297,566,566
Precinct,32,221,245,466,466
Precinct,33,264,188,452,452
Precinct,34,311,288,599,599
Precinct,35,181,179,360,360
Precinct,36,190,216,406,406
Precinct,37,228,275,503,503
Precinct,38,298,260,558,558
Precinct,39,329,388,717,717
Precinct,40,264,257,521,521
Precinct,41,353,366,719,719
Precinct,42,331,370,701,701
Precinct,43,366,335,701,701
Precinct,44,240,290,530,530
Precinct,45,256,237,493,493
Precinct,46,376,351,727,727
Precinct,47,233,246,479,479
Precinct,48,314,311,625,625
Precinct,49,303,388,691,691
Precinct,50,345,342,687,687
Precinct,51,*,*,0,0
Precinct,52,182,143,325,325
Precinct,53,415,301,716,716
Precinct,54,197,114,311,311
Precinct,55,252,116,368,368
Precinct,56,388,241,629,629
Precinct,57,316,297,613,613
Precinct,58,344,353,697,697
Precinct,59,223,165,388,388
Precinct,60,271,297,568,568
Precinct,61,362,289,651,651
Precinct,62,268,248,516,516
Precinct,63,420,458,878,878
Precinct,64,264,311,575,575
Precinct,65,227,192,419,419
Precinct,66,370,347,717,717
Precinct,67,240,201,441,441
Precinct,68,331,389,720,720
Precinct,69,254,228,482,482
Precinct,70,392,372,764,764
Precinct,71,269,254,523,523
Precinct,72,188,249,437,437
Precinct,73,296,413,709,709
Precinct,74,199,179,378,378
Precinct,75,620,503,1123,1123
Precinct,76,504,207,711,711
Precinct,77,379,44,423,423
Precinct,78,89,119,208,208
Precinct,79,86,121,207,207
Precinct,80,673,604,1277,1277
Precinct,81,341,236,577,577
Precinct,82,509,426,935,935
Precinct,83,246,306,552,552
Precinct,84,219,200,419,419
Precinct,85,178,227,405,405
Precinct,86,335,324,659,659
Precinct,87,317,204,521,521
Precinct,88,327,180,507,507
Precinct,89,397,197,594,594
Precinct,90,239,135,374,374
Precinct,91,317,38,355,355
Precinct,92,309,153,462,462
Precinct,93,369,305,674,674
Precinct,94,380,210,590,590
Precinct,95,207,35,242,242
Precinct,96,239,316,555,555
