COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|L|NL|R|U|TOTAL|
YOR|OLD ORCHARD BEACH|1-1|1|31|131|3|3053|186|49|120|1874|2553|7835|
YOR|PARSONSFIELD|1-1|1|22|139|1|370|58|10|26|484|494|1442|
YOR|SACO|1-1|1|31|129|3|890|70|11|32|618|701|2322|
YOR|SACO|2-1|1|31|126|3|783|97|12|52|643|734|2321|
YOR|SACO|3-1|1|31|130|3|877|76|17|50|567|661|2248|
YOR|SACO|4-1|1|31|130|3|1070|64|6|14|659|708|2521|
YOR|SACO|5-1|1|31|129|3|940|65|6|37|430|628|2106|
YOR|SACO|6-1|1|31|129|3|364|25|5|19|133|197|743|
YOR|SACO|6-1|1|31|130|3|612|40|11|25|243|388|1319|
YOR|SACO|7-1|1|31|129|3|696|49|11|37|250|452|1495|
YOR|SACO|7-1|1|31|130|3|286|32|3|9|164|190|684|
YOR|SANFORD|1-1|1|33|141|4|922|92|10|51|922|1054|3051|
YOR|SANFORD|1-1|1|33|142|4|1643|203|52|121|1438|1898|5355|
YOR|SANFORD|1-1|1|33|143|4|1764|179|65|110|1801|2086|6005|
YOR|SHAPLEIGH|1-1|1|22|141|1|521|117|16|33|878|735|2300|
YOR|SOUTH BERWICK|1-1|1|35|149|1|1920|143|13|35|1161|1468|4740|
YOR|SOUTH BERWICK|1-1|1|35|150|1|456|30|4|13|295|398|1196|
YOR|WATERBORO|1-1|1|33|136|4|587|88|9|29|881|673|2267|
YOR|WATERBORO|1-1|1|33|139|4|27|3|0|1|28|25|84|
YOR|WATERBORO|2-1|1|33|136|4|138|27|0|8|257|196|626|
YOR|WATERBORO|2-1|1|33|139|4|711|133|11|54|973|878|2760|
YOR|WELLS|1-1|1|34|145|5|2578|150|19|102|2283|3163|8295|
YOR|WELLS|1-1|1|34|146|5|691|19|4|13|435|761|1923|
YOR|YORK|1-1|1|35|146|5|1671|96|7|25|1084|1536|4419|
YOR|YORK|1-1|1|35|147|5|3097|161|19|28|1739|2555|7599|
