COUNTY|MUNICIPALITY|W/P|CG|SS|SR|CC|D|G|L|NL|R|U|TOTAL|
WAS|EDMUNDS TWP|1-1|2|6|10|2|45|10|1|1|74|53|184|
WAS|GRAND LAKE STREAM PLT|1-1|2|6|9|1|29|8|0|1|70|36|144|
WAS|HARRINGTON|1-1|2|6|11|3|159|24|1|11|317|182|694|
WAS|INDIAN TOWNSHIP|1-1|2|6|9|1|213|18|2|0|54|89|376|
WAS|JONESBORO|1-1|2|6|11|3|87|15|5|12|173|117|409|
WAS|JONESPORT|1-1|2|6|11|3|221|35|3|8|437|221|925|
WAS|LUBEC|1-1|2|6|10|2|406|27|2|26|301|384|1146|
WAS|MACHIAS|1-1|2|6|11|2|343|51|8|60|483|414|1359|
WAS|MACHIASPORT|1-1|2|6|10|3|166|21|5|28|258|260|738|
WAS|MARSHFIELD|1-1|2|6|10|1|68|9|4|12|200|99|392|
WAS|MEDDYBEMPS|1-1|2|6|9|1|26|6|0|0|54|32|118|
WAS|MILBRIDGE|1-1|2|6|11|3|259|57|2|11|400|284|1013|
WAS|NORTHFIELD|1-1|2|6|10|1|31|11|1|3|60|49|155|
WAS|PEMBROKE|1-1|2|6|10|2|166|28|2|5|232|168|601|
WAS|PERRY|1-1|2|6|9|2|153|20|1|5|246|187|612|
WAS|PLEASANT POINT VOTING DISTRICT|1-1|2|6|9|2|152|14|1|3|27|113|310|
WAS|PRINCETON|1-1|2|6|10|1|53|4|0|3|116|102|278|
WAS|PRINCETON|1-2|2|6|10|1|40|9|3|3|95|70|220|
WAS|ROBBINSTON|1-1|2|6|9|1|96|9|2|8|207|123|445|
WAS|ROQUE BLUFFS|1-1|2|6|11|3|73|6|2|5|82|98|266|
WAS|STEUBEN|1-1|2|6|12|3|223|18|4|18|370|269|902|
WAS|TALMADGE|1-1|2|6|8|1|10|2|0|0|28|8|48|
WAS|TOPSFIELD|1-1|2|6|8|1|15|2|0|0|71|42|130|
WAS|VANCEBORO|1-1|2|6|8|1|32|2|0|0|40|39|113|
WAS|WAITE|1-1|2|6|8|1|11|2|0|0|31|12|56|
WAS|WESLEY|1-1|2|6|10|1|25|7|0|2|43|46|123|
WAS|WHITING|1-1|2|6|10|2|142|15|0|12|181|117|467|
WAS|WHITNEYVILLE|1-1|2|6|11|1|36|6|1|4|49|52|148|
YOR|ACTON|1-1|1|22|144|1|516|91|10|33|821|659|2130|
YOR|ALFRED|1-1|1|33|136|4|462|46|8|26|595|618|1755|
YOR|ALFRED|1-2|1|33|136|4|225|22|3|11|209|253|723|
YOR|ARUNDEL|1-1|1|32|140|2|1120|94|16|72|1046|1146|3494|
YOR|BERWICK|1-1|1|34|148|1|1635|135|26|52|1735|2359|5942|
YOR|BIDDEFORD|1-1|1|32|133|2|113|10|3|1|68|70|265|
YOR|BIDDEFORD|1-1|1|32|134|2|916|41|11|36|311|493|1808|
YOR|BIDDEFORD|2-1|1|32|132|2|701|46|29|56|263|420|1515|
YOR|BIDDEFORD|2-1|1|32|133|2|274|16|1|10|118|145|564|
YOR|BIDDEFORD|3-1|1|32|132|2|371|22|5|17|159|181|755|
YOR|BIDDEFORD|3-1|1|32|133|2|300|36|1|21|156|181|695|
YOR|BIDDEFORD|3-1|1|32|134|2|249|25|4|16|148|178|620|
YOR|BIDDEFORD|4-1|1|32|132|2|833|77|13|73|340|469|1805|
YOR|BIDDEFORD|4-1|1|32|133|2|124|7|2|2|44|53|232|
YOR|BIDDEFORD|5-1|1|32|132|2|848|58|41|66|239|550|1802|
YOR|BIDDEFORD|5-1|1|32|133|2|267|21|10|16|95|176|585|
YOR|BIDDEFORD|6-1|1|32|132|2|42|5|4|2|19|17|89|
YOR|BIDDEFORD|6-1|1|32|133|2|998|69|10|75|495|655|2302|
YOR|BIDDEFORD|7-1|1|32|132|2|40|0|0|1|16|17|74|
YOR|BIDDEFORD|7-1|1|32|133|2|931|51|10|47|460|509|2008|
YOR|BUXTON|1-1|1|31|137|3|1429|171|23|66|1749|1449|4887|
YOR|BUXTON|1-1|1|31|138|3|346|49|8|20|527|511|1461|
YOR|CORNISH|1-1|1|22|138|1|335|69|5|12|412|364|1197|
YOR|DAYTON|1-1|1|32|140|4|422|49|9|28|622|589|1719|
YOR|ELIOT|1-1|1|35|150|5|2254|113|18|28|1499|1889|5801|
YOR|HOLLIS|1-1|1|32|137|3|577|98|5|30|795|701|2206|
YOR|HOLLIS|1-1|1|32|138|3|354|61|3|26|566|430|1440|
YOR|KENNEBUNK|1-1|1|34|135|2|1004|45|11|39|709|1210|3018|
YOR|KENNEBUNK|1-2|1|34|134|2|775|23|7|16|505|732|2058|
YOR|KENNEBUNK|1-2|1|34|135|2|2158|88|8|44|1097|1850|5245|
YOR|KENNEBUNKPORT|1-1|1|34|134|2|1391|77|9|26|942|950|3395|
YOR|KITTERY|1-1|1|35|150|5|269|15|2|12|145|235|678|
YOR|KITTERY|1-1|1|35|151|5|3717|168|28|85|1522|2362|7882|
YOR|LEBANON|1-1|1|33|144|1|915|221|11|71|1652|1842|4712|
YOR|LIMERICK|1-1|1|22|139|4|592|99|12|41|801|1026|2571|
YOR|LIMINGTON|1-1|1|22|138|1|654|167|10|67|1083|835|2816|
YOR|LYMAN|1-1|1|32|136|4|455|56|11|36|583|480|1621|
YOR|LYMAN|1-1|1|32|140|4|543|65|10|56|733|651|2058|
YOR|NEWFIELD|1-1|1|22|141|1|262|65|3|28|475|435|1268|
YOR|NORTH BERWICK|1-1|1|34|148|1|342|48|3|22|447|433|1295|
YOR|NORTH BERWICK|1-1|1|34|149|1|787|96|12|25|837|935|2692|
YOR|OGUNQUIT|1-1|1|35|146|5|660|48|2|14|280|388|1392|
