COUNTY,FIPS,SRPREC,ELECTION,SRPREC_KEY,GEO_TYPE,CITY,N_IN_CITY,N
19,06037,9001775A,g24,060379001775A,srprec,LOS ANGELES,2000,2000
19,06037,9004127A,g24,060379004127A,srprec,LOS ANGELES,462,462
19,06037,9001779A,g24,060379001779A,srprec,LOS ANGELES,2555,2555
19,06037,9001782A,g24,060379001782A,srprec,LOS ANGELES,3130,3130
19,06037,9001785A,g24,060379001785A,srprec,LOS ANGELES,3321,3321
19,06037,9001799A,g24,060379001799A,srprec,LOS ANGELES,1980,1980
19,06037,9001846A,g24,060379001846A,srprec,LOS ANGELES,3012,3012
19,06037,9001855B,g24,060379001855B,srprec,LOS ANGELES,3007,3007
19,06037,9001861A,g24,060379001861A,srprec,VAN NUYS,1401,1596
19,06037,9001874A,g24,060379001874A,srprec,MARINA DEL REY,2471,2900
19,06037,9001895A,g24,060379001895A,srprec,LOS ANGELES,2658,2658
19,06037,9002200A,g24,060379002200A,srprec,LOS ANGELES,3034,3036
19,06037,9001921A,g24,060379001921A,srprec,NORTH HOLLYWOOD,832,865
19,06037,9001113A,g24,060379001113A,srprec,STUDIO CITY,2372,5235
19,06037,9001930A,g24,060379001930A,srprec,LOS ANGELES,262,262
19,06037,9002288A,g24,060379002288A,srprec,NORTH HOLLYWOOD,1425,1580
19,06037,9001946B,g24,060379001946B,srprec,STUDIO CITY,174,174
19,06037,9001946E,g24,060379001946E,srprec,LOS ANGELES,145,265
19,06037,9001946F,g24,060379001946F,srprec,STUDIO CITY,95,97
19,06037,9001959A,g24,060379001959A,srprec,LOS ANGELES,1972,1972
19,06037,9002110A,g24,060379002110A,srprec,LOS ANGELES,2853,2853
19,06037,9002025A,g24,060379002025A,srprec,LOS ANGELES,2985,2985
19,06037,9002073A,g24,060379002073A,srprec,LOS ANGELES,2822,2822
19,06037,9003141A,g24,060379003141A,srprec,LOS ANGELES,458,458
19,06037,9002412A,g24,060379002412A,srprec,LOS ANGELES,3685,3685
19,06037,9002334A,g24,060379002334A,srprec,LOS ANGELES,3669,3670
19,06037,9003068A,g24,060379003068A,srprec,LOS ANGELES,3287,3287
