"JurisdictionID","JurisContainerID","JurisName","EISCandidateID","CandidateName","EISContestID","ContestName","PrecinctName","Registration","EISPartyID","PartyName","VoteCount"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","York 027-0426","825","11","Democratic","379"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","York 029-0429","202","11","Democratic","78"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","York 048-0449","1108","11","Democratic","407"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","York 051-0452","916","11","Democratic","415"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","York 054-0455","981","11","Democratic","354"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","York 055-0458","551","11","Democratic","167"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","York 070-0481","184","11","Democratic","76"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","York 071-0484","170","11","Democratic","57"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","York 073-0487","210","11","Democratic","83"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","York 074-0490","17","11","Democratic","5"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","Naperville 002-0510","45","11","Democratic","20"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","Naperville 003-0513","600","11","Democratic","334"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","Naperville 004-0516","2","11","Democratic","0"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","Naperville 005-0519","1000","11","Democratic","452"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","Naperville 021-0542","1310","11","Democratic","589"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","Naperville 023-0545","379","11","Democratic","184"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","Naperville 026-0548","844","11","Democratic","343"
"22","0","DuPAGE","3405","Kamala D. Harris","120","PRESIDENT AND VICE PRESIDENT","Naperville 047-0571","1250","11","Democratic","612"
