,,Elliott Hood,Eric Rinard,T.J. Cole,Thomas Reasoner,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,Unity Party of Colorado,Approval Voting,,
Precinct,8231962231,461,752,28,9,1250,1250
Precinct,8231962232,565,761,28,25,1379,1379
Precinct,8231962233,375,589,31,16,1011,1011
Precinct,8231962234,352,637,26,12,1027,1027
Precinct,8231962262,217,224,18,15,474,474
Precinct,8231962263,345,667,16,13,1041,1041
Precinct,8231962323,66,228,2,4,300,300
Precinct,8231962324,343,517,32,15,907,907
Precinct,8231962325,503,896,29,14,1442,1442
Precinct,8231962326,333,470,17,8,828,828
Precinct,8231962327,250,446,9,5,710,710
Precinct,8231962328,387,494,25,16,922,922
Precinct,8233362601,0,0,0,0,0,0
Precinct,8234862216,9,81,3,0,93,93
Precinct,8234862217,23,121,2,3,149,149
Precinct,8234862321,34,177,4,3,218,218
Precinct,8234862322,9,48,3,0,60,60
Precinct,8234862361,3,28,0,0,31,31
Precinct,8236462200,461,986,21,7,1475,1475
Precinct,8236462201,343,806,15,14,1178,1178
Precinct,8236462202,401,922,30,18,1371,1371
Precinct,8236462203,266,779,15,6,1066,1066
Precinct,8236462204,373,838,32,14,1257,1257
Precinct,8236462205,232,481,9,12,734,734
Precinct,8236462206,274,769,22,7,1072,1072
Precinct,8236462207,348,569,8,9,934,934
Precinct,8236462208,446,835,26,16,1323,1323
Precinct,8236462209,395,808,30,15,1248,1248
Precinct,8236462210,377,933,18,6,1334,1334
Precinct,8236462211,349,797,21,18,1185,1185
Precinct,8236462212,265,710,17,14,1006,1006
Precinct,8236462213,225,508,12,4,749,749
Precinct,8236462214,251,442,25,9,727,727
Precinct,8236462215,182,557,22,12,773,773
Precinct,8236562156,11,120,1,0,132,132
Precinct,8236562259,56,264,4,1,325,325
County,Yuma,600,3612,52,36,4300,4300
Precinct,4016363001,34,298,4,4,340,340
Precinct,4016363002,55,308,4,2,369,369
Precinct,4016363003,21,162,1,3,187,187
Precinct,4016363004,88,486,4,1,579,579
Precinct,4016363005,11,123,0,1,135,135
Precinct,4016363006,70,385,1,3,459,459
Precinct,4016363007,12,88,1,3,104,104
Precinct,4016363008,16,137,2,3,158,158
Precinct,4016363009,16,252,4,2,274,274
Precinct,4016363010,25,218,1,1,245,245
Precinct,4016363011,61,270,7,2,340,340
Precinct,4016363012,57,346,5,1,409,409
Precinct,4016363013,85,280,9,5,379,379
Precinct,4016363014,49,259,9,5,322,322
