,,Elliott Hood,Eric Rinard,T.J. Cole,Thomas Reasoner,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,Unity Party of Colorado,Approval Voting,,
Precinct,8134801196,201,258,9,7,475,475
Precinct,8134801197,141,131,8,4,284,284
Precinct,8134801198,335,558,16,14,923,923
Precinct,8134801227,82,212,9,5,308,308
Precinct,8213201003,0,0,0,0,0,0
Precinct,8213201117,646,420,46,22,1134,1134
Precinct,8213201118,403,281,25,9,718,718
Precinct,8213201119,551,330,40,12,933,933
Precinct,8213201120,573,319,23,15,930,930
Precinct,8213201121,487,320,31,18,856,856
Precinct,8213201122,289,215,14,11,529,529
Precinct,8213201123,544,335,45,13,937,937
Precinct,8213201124,555,306,18,19,898,898
Precinct,8213201125,350,225,14,12,601,601
Precinct,8213201126,556,379,39,22,996,996
Precinct,8213201127,342,273,24,16,655,655
Precinct,8213201128,411,318,30,13,772,772
Precinct,8213201129,510,331,31,14,886,886
Precinct,8213201140,282,240,11,13,546,546
Precinct,8213201141,537,451,27,20,1035,1035
Precinct,8213201199,268,402,7,11,688,688
Precinct,8213201200,27,73,2,0,102,102
Precinct,8213201201,269,333,9,3,614,614
Precinct,8213201202,196,288,7,7,498,498
Precinct,8213201203,353,401,12,7,773,773
Precinct,8213201204,281,244,19,5,549,549
Precinct,8213201205,458,552,30,8,1048,1048
Precinct,8213201206,458,552,22,13,1045,1045
Precinct,8213201207,305,278,14,6,603,603
Precinct,8213201208,211,177,10,11,409,409
Precinct,8213201209,716,536,36,21,1309,1309
Precinct,8213201210,514,525,29,10,1078,1078
Precinct,8213201211,156,166,14,8,344,344
Precinct,8213201212,573,539,26,5,1143,1143
Precinct,8213201213,502,360,15,18,895,895
Precinct,8213201214,457,434,21,5,917,917
Precinct,8213201215,397,497,24,11,929,929
Precinct,8213201216,667,582,25,13,1287,1287
Precinct,8213201217,348,347,21,11,727,727
Precinct,8213201218,415,426,21,14,876,876
Precinct,8213201219,388,301,10,5,704,704
Precinct,8213201220,273,185,17,2,477,477
Precinct,8213201221,209,168,4,8,389,389
Precinct,8213201222,453,353,20,6,832,832
Precinct,8213201223,77,57,3,0,137,137
Precinct,8213201224,123,101,5,3,232,232
Precinct,8213201225,33,67,2,3,105,105
Precinct,8213201254,281,195,14,7,497,497
Precinct,8213201255,218,144,17,7,386,386
Precinct,8213201261,258,293,18,9,578,578
Precinct,8213201276,190,128,13,6,337,337
Precinct,8213501001,645,240,33,13,931,931
Precinct,8213501002,331,166,10,3,510,510
Precinct,8213501004,343,248,15,9,615,615
Precinct,8213501005,688,354,38,26,1106,1106
Precinct,8213501006,454,238,34,20,746,746
Precinct,8213501007,560,429,19,16,1024,1024
Precinct,8213501010,554,343,30,25,952,952
Precinct,8213501011,272,134,21,8,435,435
Precinct,8213501012,497,320,33,17,867,867
Precinct,8213501013,760,437,38,22,1257,1257
Precinct,8213501014,416,293,29,21,759,759
Precinct,8213501017,311,222,8,14,555,555
Precinct,8213501018,314,236,21,10,581,581
Precinct,8213501019,327,223,16,7,573,573
Precinct,8213501020,493,284,36,23,836,836
Precinct,8213501021,601,356,34,13,1004,1004
Precinct,8213501022,586,346,33,16,981,981
Precinct,8213501023,431,232,23,12,698,698
Precinct,8213501024,580,345,32,11,968,968
Precinct,8213501025,574,313,31,19,937,937
Precinct,8213501026,238,129,13,8,388,388
Precinct,8213501257,724,270,9,10,1013,1013
Precinct,8213501262,442,276,32,16,766,766
Precinct,8213501270,512,256,13,9,790,790
Precinct,8213501271,487,208,30,14,739,739
Precinct,8213501275,559,307,21,13,900,900
Precinct,8214801226,70,187,2,2,261,261
Precinct,8215601228,192,429,13,11,645,645
Precinct,8215601268,20,52,0,0,72,72
Precinct,8243101028,400,248,17,16,681,681
Precinct,8243101029,581,330,22,22,955,955
Precinct,8243101037,329,216,19,17,581,581
Precinct,8243101038,628,412,25,14,1079,1079
Precinct,8243101041,488,316,24,13,841,841
Precinct,8243101097,255,248,22,9,534,534
Precinct,8243101103,247,147,16,7,417,417
Precinct,8243101105,54,59,2,2,117,117
Precinct,8243101106,657,468,34,18,1177,1177
Precinct,8243101107,703,500,24,11,1238,1238
Precinct,8243101108,603,411,38,29,1081,1081
Precinct,8243101109,500,380,20,17,917,917
Precinct,8243101110,350,263,27,8,648,648
Precinct,8243101111,465,379,24,11,879,879
Precinct,8243101112,427,264,22,20,733,733
Precinct,8243101113,503,346,36,17,902,902
Precinct,8243101114,447,276,21,15,759,759
Precinct,8243101115,467,314,40,17,838,838
Precinct,8243101116,212,195,11,12,430,430
Precinct,8243101131,313,221,14,8,556,556
Precinct,8243101132,423,309,28,6,766,766
Precinct,8243101133,594,532,25,20,1171,1171
Precinct,8243101134,573,452,33,18,1076,1076
Precinct,8243101135,576,551,26,20,1173,1173
Precinct,8243101136,433,406,15,12,866,866
Precinct,8243101137,649,574,32,15,1270,1270
Precinct,8243101138,376,411,21,10,818,818
Precinct,8243101139,234,207,12,2,455,455
Precinct,8243101142,427,580,26,11,1044,1044
Precinct,8243101143,413,363,31,13,820,820
Precinct,8243101144,543,554,33,15,1145,1145
Precinct,8243101145,615,532,37,20,1204,1204
Precinct,8243101146,211,177,20,10,418,418
Precinct,8243101147,719,601,39,16,1375,1375
Precinct,8243101148,374,361,19,10,764,764
Precinct,8243101250,276,156,15,4,451,451
Precinct,8243101263,305,177,13,6,501,501
Precinct,8243101274,0,0,0,0,0,0
Precinct,8243201130,76,55,1,0,132,132
Precinct,8243301071,344,390,17,4,755,755
Precinct,8243301072,481,554,18,10,1063,1063
Precinct,8243301073,408,504,21,10,943,943
Precinct,8243301074,400,509,15,10,934,934
Precinct,8243301075,329,325,15,8,677,677
Precinct,8243301158,560,628,30,15,1233,1233
Precinct,8243301160,634,760,23,15,1432,1432
Precinct,8243301161,456,609,6,7,1078,1078
Precinct,8243301165,656,802,8,14,1480,1480
Precinct,8243301259,69,128,2,0,199,199
Precinct,8243401076,527,511,21,9,1068,1068
Precinct,8243401077,229,293,13,5,540,540
Precinct,8243401078,325,326,15,12,678,678
Precinct,8243401079,349,325,11,6,691,691
Precinct,8243401080,357,443,13,10,823,823
Precinct,8243401081,409,405,11,8,833,833
Precinct,8243401082,465,389,17,10,881,881
Precinct,8243401083,478,411,26,11,926,926
Precinct,8243401084,280,312,10,2,604,604
Precinct,8243401085,494,399,19,12,924,924
Precinct,8243401086,405,454,30,6,895,895
Precinct,8243401087,476,383,20,10,889,889
Precinct,8243401088,600,488,16,12,1116,1116
Precinct,8243401089,489,417,34,13,953,953
Precinct,8243401093,512,514,32,15,1073,1073
Precinct,8243401094,500,510,19,15,1044,1044
Precinct,8243401149,458,478,13,11,960,960
Precinct,8243401150,653,536,23,12,1224,1224
Precinct,8243401151,546,547,27,8,1128,1128
Precinct,8243401152,496,541,26,12,1075,1075
Precinct,8243401153,292,408,11,8,719,719
Precinct,8243401155,493,604,28,14,1139,1139
Precinct,8243401156,377,421,13,15,826,826
Precinct,8243401157,367,384,16,12,779,779
Precinct,8243401159,353,362,18,3,736,736
Precinct,8243401252,618,573,23,10,1224,1224
Precinct,8243401256,494,599,15,10,1118,1118
Precinct,8243401264,182,190,18,6,396,396
Precinct,8243401265,164,165,12,5,346,346
Precinct,8243501027,329,173,16,8,526,526
Precinct,8243501030,323,284,22,10,639,639
Precinct,8243501035,404,255,21,14,694,694
Precinct,8243501036,333,296,12,11,652,652
Precinct,8243501042,412,273,21,9,715,715
Precinct,8244801154,4,26,0,1,31,31
Precinct,8244801164,97,229,4,2,332,332
Precinct,8244801166,117,294,7,6,424,424
Precinct,8244801167,167,353,11,2,533,533
Precinct,8244801168,26,63,1,0,90,90
Precinct,8244801169,115,259,2,2,378,378
Precinct,8252901032,301,235,5,8,549,549
Precinct,8252901033,763,496,25,13,1297,1297
Precinct,8252901034,498,383,23,28,932,932
Precinct,8252901043,466,333,14,10,823,823
Precinct,8252901044,496,320,23,14,853,853
Precinct,8252901045,304,288,9,7,608,608
Precinct,8252901046,323,287,18,4,632,632
Precinct,8252901047,552,369,12,6,939,939
Precinct,8252901048,396,372,8,4,780,780
Precinct,8252901049,524,393,16,14,947,947
Precinct,8252901050,427,335,22,8,792,792
Precinct,8252901054,420,304,17,9,750,750
Precinct,8252901055,368,303,12,3,686,686
Precinct,8252901056,635,431,21,12,1099,1099
Precinct,8252901057,457,335,22,9,823,823
Precinct,8252901058,640,346,15,9,1010,1010
Precinct,8252901059,556,372,13,8,949,949
Precinct,8252901060,446,430,15,6,897,897
Precinct,8252901061,593,390,16,10,1009,1009
Precinct,8252901062,473,426,20,6,925,925
Precinct,8252901063,537,438,13,9,997,997
Precinct,8252901064,647,397,46,17,1107,1107
Precinct,8252901065,569,360,17,4,950,950
Precinct,8252901066,287,201,18,10,516,516
Precinct,8252901067,264,230,9,9,512,512
Precinct,8252901068,667,392,30,11,1100,1100
Precinct,8252901069,582,572,26,9,1189,1189
Precinct,8252901070,299,446,10,9,764,764
Precinct,8253301277,18,17,0,1,36,36
Precinct,8253401039,428,297,21,8,754,754
Precinct,8253401040,402,380,22,16,820,820
Precinct,8253401051,561,511,33,15,1120,1120
Precinct,8253401052,281,259,19,8,567,567
Precinct,8253401053,478,403,23,6,910,910
Precinct,8253401090,413,300,31,21,765,765
Precinct,8253401091,458,340,21,16,835,835
Precinct,8253401092,512,534,32,25,1103,1103
Precinct,8253401095,480,431,20,23,954,954
Precinct,8253401096,391,366,21,10,788,788
Precinct,8253401098,420,386,29,6,841,841
Precinct,8253401099,303,253,13,12,581,581
Precinct,8253401100,527,424,23,18,992,992
Precinct,8253401101,568,433,29,12,1042,1042
Precinct,8253401102,443,376,21,15,855,855
Precinct,8253401104,492,341,23,13,869,869
Precinct,8253401273,396,233,11,9,649,649
Precinct,8253401278,371,210,18,9,608,608
Precinct,8253501015,519,387,33,20,959,959
Precinct,8253501016,627,419,30,18,1094,1094
Precinct,8253501031,513,346,22,12,893,893
Precinct,8253501272,395,284,16,16,711,711
County,Alamosa,2937,3744,207,67,6955,6955
Precinct,3066202001,328,211,21,8,568,568
Precinct,3066202002,275,222,23,7,527,527
Precinct,3066202003,548,657,40,9,1254,1254
Precinct,3066202004,541,845,29,5,1420,1420
Precinct,3066202005,155,440,14,7,616,616
Precinct,3066202006,341,269,24,8,642,642
Precinct,3066202007,563,648,48,15,1274,1274
Precinct,3066202008,186,452,8,8,654,654
County,Arapahoe,166223,125935,6324,3229,301711,301711
Precinct,1320903137,463,231,14,6,714,714
Precinct,1320903138,241,97,5,1,344,344
Precinct,1320903139,412,170,7,1,590,590
Precinct,1320903460,689,212,18,8,927,927
Precinct,1320903474,485,153,26,7,671,671
Precinct,4215603363,296,1203,15,15,1529,1529
Precinct,4215603364,242,945,18,12,1217,1217
Precinct,4215603365,133,603,25,13,774,774
Precinct,4274003340,932,750,34,11,1727,1727
Precinct,4274003369,872,642,26,17,1557,1557
Precinct,4274003370,692,501,38,9,1240,1240
Precinct,4274003387,501,369,17,13,900,900
Precinct,4275603357,113,420,7,2,542,542
Precinct,4275603366,74,286,2,0,362,362
Precinct,4276103334,490,529,31,4,1054,1054
Precinct,4276103335,642,567,19,16,1244,1244
Precinct,4276103336,592,533,18,15,1158,1158
Precinct,4276103337,532,493,18,16,1059,1059
Precinct,4276103350,0,0,0,0,0,0
Precinct,4276103368,264,166,22,2,454,454
Precinct,4276103382,226,185,14,0,425,425
Precinct,4283603358,0,0,0,0,0,0
Precinct,4283603361,490,435,26,8,959,959
Precinct,4284003318,383,277,21,16,697,697
Precinct,4284003341,747,556,25,10,1338,1338
Precinct,4284003343,510,493,32,16,1051,1051
Precinct,4285603362,89,260,7,5,361,361
Precinct,6163703148,445,371,12,11,839,839
Precinct,6163703157,247,306,9,1,563,563
Precinct,6163703181,359,409,15,2,785,785
Precinct,6163703199,72,114,0,1,187,187
Precinct,6163703208,487,408,20,8,923,923
Precinct,6163703209,442,390,5,4,841,841
Precinct,6163703210,716,579,16,13,1324,1324
Precinct,6163703211,348,348,11,12,719,719
Precinct,6163703212,535,425,15,12,987,987
Precinct,6163703214,319,370,8,9,706,706
Precinct,6163703217,407,299,11,7,724,724
Precinct,6163703218,386,278,12,4,680,680
Precinct,6163703219,405,528,8,3,944,944
Precinct,6163703220,445,272,9,9,735,735
Precinct,6163703221,330,323,4,5,662,662
Precinct,6163703222,373,366,5,2,746,746
Precinct,6163703223,480,371,17,6,874,874
Precinct,6163703224,412,301,8,6,727,727
Precinct,6163703225,437,325,8,6,776,776
Precinct,6163703226,353,220,6,2,581,581
Precinct,6163703227,326,251,5,0,582,582
Precinct,6163703228,383,335,7,1,726,726
Precinct,6163803126,315,206,19,13,553,553
Precinct,6163803127,292,235,9,2,538,538
Precinct,6163803140,326,276,5,5,612,612
Precinct,6163803141,145,231,2,2,380,380
Precinct,6163803142,393,328,7,11,739,739
Precinct,6163803143,619,473,28,12,1132,1132
Precinct,6163803144,301,350,11,4,666,666
Precinct,6163803145,519,416,9,8,952,952
Precinct,6163803146,325,361,8,1,695,695
Precinct,6163803147,573,671,8,6,1258,1258
Precinct,6163803149,380,815,4,3,1202,1202
Precinct,6163803150,456,476,14,16,962,962
Precinct,6163803151,429,250,17,14,710,710
Precinct,6163803152,400,283,5,3,691,691
Precinct,6163803153,671,392,14,10,1087,1087
Precinct,6163803154,539,342,21,11,913,913
Precinct,6163803155,444,535,14,15,1008,1008
Precinct,6163803156,516,437,15,9,977,977
Precinct,6163803158,384,322,17,5,728,728
Precinct,6163803159,338,288,7,11,644,644
Precinct,6163803160,359,291,13,10,673,673
Precinct,6163803161,348,230,8,5,591,591
Precinct,6163803162,380,168,13,10,571,571
Precinct,6163803163,383,260,5,8,656,656
Precinct,6163803164,343,292,11,10,656,656
Precinct,6163803165,455,391,10,14,870,870
Precinct,6163803166,228,135,11,2,376,376
Precinct,6163803167,343,329,9,8,689,689
Precinct,6163803168,462,322,15,10,809,809
Precinct,6163803169,461,408,21,8,898,898
Precinct,6163803170,493,451,23,5,972,972
Precinct,6163803171,675,559,15,7,1256,1256
Precinct,6163803172,340,305,9,1,655,655
Precinct,6163803173,672,443,24,6,1145,1145
Precinct,6163803174,299,239,8,5,551,551
Precinct,6163803175,437,317,9,5,768,768
Precinct,6163803176,595,467,21,12,1095,1095
Precinct,6163803177,375,386,18,4,783,783
Precinct,6163803178,361,289,10,9,669,669
Precinct,6163803179,268,257,6,11,542,542
Precinct,6163803180,631,542,21,17,1211,1211
Precinct,6163803182,433,319,12,10,774,774
Precinct,6163803183,567,469,10,15,1061,1061
Precinct,6163803184,272,313,7,5,597,597
Precinct,6163803185,391,309,11,2,713,713
Precinct,6163803186,414,370,12,6,802,802
Precinct,6163803187,389,353,16,9,767,767
Precinct,6163803188,269,256,7,3,535,535
Precinct,6163803189,470,434,11,4,919,919
Precinct,6163803190,535,427,24,11,997,997
Precinct,6163803191,391,362,7,5,765,765
Precinct,6163803192,416,468,7,3,894,894
Precinct,6163803193,367,319,10,5,701,701
Precinct,6163803194,487,447,9,11,954,954
Precinct,6163803195,455,369,16,6,846,846
Precinct,6163803196,311,208,11,2,532,532
Precinct,6163803197,372,211,10,6,599,599
Precinct,6260303101,500,402,27,27,956,956
Precinct,6260303102,446,334,21,13,814,814
Precinct,6260303103,277,199,19,3,498,498
Precinct,6260303104,310,142,13,7,472,472
Precinct,6260303105,921,369,24,14,1328,1328
Precinct,6260303106,309,117,10,7,443,443
Precinct,6260303107,518,211,13,6,748,748
Precinct,6260303108,393,198,12,5,608,608
Precinct,6260303109,376,167,14,3,560,560
Precinct,6260303110,257,157,0,1,415,415
Precinct,6260303111,654,272,26,13,965,965
Precinct,6260303112,488,232,17,7,744,744
Precinct,6260303113,385,230,3,5,623,623
Precinct,6260303114,475,176,28,9,688,688
Precinct,6260303115,558,268,27,9,862,862
Precinct,6260303116,568,315,29,8,920,920
Precinct,6260303117,627,288,16,18,949,949
Precinct,6260303118,466,207,19,6,698,698
Precinct,6260303119,379,244,17,8,648,648
Precinct,6260303120,407,196,6,11,620,620
Precinct,6260303121,264,175,10,4,453,453
Precinct,6260303122,489,424,26,20,959,959
Precinct,6260303123,489,311,21,9,830,830
Precinct,6260303124,478,310,18,10,816,816
Precinct,6260303125,266,128,9,6,409,409
Precinct,6260303128,183,137,6,6,332,332
Precinct,6260303129,278,217,14,11,520,520
Precinct,6260303130,468,322,15,12,817,817
Precinct,6260303131,316,509,3,0,828,828
Precinct,6260303132,292,563,3,2,860,860
Precinct,6260303133,267,520,5,1,793,793
Precinct,6260303134,236,211,7,2,456,456
Precinct,6260303135,137,177,3,1,318,318
Precinct,6260303136,375,344,11,5,735,735
Precinct,6260903401,516,190,16,12,734,734
Precinct,6260903403,382,89,10,9,490,490
Precinct,6260903404,255,106,16,9,386,386
Precinct,6260903405,293,126,13,3,435,435
Precinct,6260903406,196,82,14,7,299,299
Precinct,6260903407,615,341,18,12,986,986
Precinct,6260903408,427,149,17,8,601,601
Precinct,6260903409,687,243,30,11,971,971
Precinct,6260903410,665,264,24,8,961,961
Precinct,6260903412,626,203,27,11,867,867
Precinct,6263703198,26,17,1,0,44,44
Precinct,6263703201,117,177,2,1,297,297
Precinct,6263703202,110,196,3,0,309,309
Precinct,6263703203,229,370,4,4,607,607
Precinct,6263703204,477,852,3,4,1336,1336
Precinct,6263703229,461,529,5,4,999,999
Precinct,6263703231,485,338,17,12,852,852
Precinct,6263703232,632,563,18,8,1221,1221
Precinct,6263703234,582,485,34,15,1116,1116
Precinct,6263703245,229,180,2,0,411,411
Precinct,6263703246,538,326,17,5,886,886
Precinct,6263703247,736,414,27,9,1186,1186
Precinct,6263703248,266,191,9,3,469,469
Precinct,6263703249,370,308,2,1,681,681
Precinct,6263703250,497,337,10,6,850,850
Precinct,6263703251,705,504,18,5,1232,1232
Precinct,6263703252,643,501,11,3,1158,1158
Precinct,6263703253,615,644,23,7,1289,1289
Precinct,6263703254,171,153,4,4,332,332
Precinct,6270303258,374,143,21,7,545,545
Precinct,6273703206,11,28,0,0,39,39
Precinct,6273703207,159,311,6,2,478,478
Precinct,6273703213,443,737,11,5,1196,1196
Precinct,6273703216,90,129,4,1,224,224
Precinct,6273703233,449,243,7,5,704,704
Precinct,6273703235,309,231,8,9,557,557
Precinct,6273703236,283,225,6,8,522,522
Precinct,6273703237,500,426,11,12,949,949
Precinct,6273703238,358,306,10,5,679,679
Precinct,6273703239,445,285,8,4,742,742
Precinct,6273703240,650,525,10,9,1194,1194
Precinct,6273703241,494,343,9,5,851,851
Precinct,6273703242,360,253,7,2,622,622
Precinct,6273703243,504,372,31,10,917,917
Precinct,6273703244,595,510,17,10,1132,1132
Precinct,6273703256,160,105,6,3,274,274
Precinct,6273703259,836,478,38,12,1364,1364
Precinct,6273703260,633,518,28,11,1190,1190
Precinct,6273703284,301,294,10,8,613,613
Precinct,6273703286,777,562,22,9,1370,1370
Precinct,6273703287,66,104,3,4,177,177
Precinct,6274003255,75,79,4,4,162,162
Precinct,6274003269,522,322,23,13,880,880
Precinct,6274003270,434,384,28,12,858,858
Precinct,6274003271,435,321,22,10,788,788
Precinct,6274003272,236,200,7,2,445,445
Precinct,6274003273,434,339,40,13,826,826
Precinct,6274003274,419,272,8,3,702,702
Precinct,6274003275,430,401,17,17,865,865
Precinct,6274003290,343,241,16,7,607,607
Precinct,6274003291,423,294,17,13,747,747
Precinct,6274003302,323,296,9,6,634,634
Precinct,6274003303,406,318,16,14,754,754
Precinct,6274003304,346,277,13,6,642,642
Precinct,6274003305,315,249,11,14,589,589
Precinct,6274003306,362,272,16,9,659,659
Precinct,6274003307,361,267,9,8,645,645
Precinct,6274003424,6,4,0,0,10,10
Precinct,6275603355,1049,830,35,17,1931,1931
Precinct,6275603372,360,296,15,12,683,683
Precinct,6275603373,477,516,15,5,1013,1013
Precinct,6275603384,570,510,14,8,1102,1102
Precinct,6276103205,437,452,13,9,911,911
Precinct,6276103215,444,718,1,14,1177,1177
Precinct,6276103257,459,448,18,9,934,934
Precinct,6276103261,595,572,19,8,1194,1194
Precinct,6276103262,555,461,21,15,1052,1052
Precinct,6276103263,467,372,10,4,853,853
Precinct,6276103264,513,404,16,3,936,936
Precinct,6276103265,249,283,12,5,549,549
Precinct,6276103266,660,700,25,7,1392,1392
Precinct,6276103267,590,698,23,5,1316,1316
Precinct,6276103268,547,605,9,6,1167,1167
Precinct,6276103276,119,111,4,4,238,238
Precinct,6276103277,350,334,13,4,701,701
Precinct,6276103278,187,201,6,3,397,397
Precinct,6276103279,372,344,11,9,736,736
Precinct,6276103280,435,428,22,7,892,892
Precinct,6276103281,497,406,14,7,924,924
Precinct,6276103282,589,533,17,11,1150,1150
Precinct,6276103283,390,332,18,5,745,745
Precinct,6276103285,334,295,8,1,638,638
Precinct,6276103288,0,0,0,0,0,0
Precinct,6276103308,479,408,18,6,911,911
Precinct,6276103309,243,242,3,12,500,500
Precinct,6276103320,658,579,20,20,1277,1277
Precinct,6276103321,511,465,20,13,1009,1009
Precinct,6276103327,448,458,11,4,921,921
Precinct,6276103329,516,431,17,19,983,983
Precinct,6276103330,692,669,30,14,1405,1405
Precinct,6276103332,377,388,11,6,782,782
Precinct,6276103333,235,271,8,7,521,521
Precinct,6276103338,398,301,12,12,723,723
Precinct,6276103339,491,422,26,14,953,953
Precinct,6276103351,704,712,32,17,1465,1465
Precinct,6276103352,826,652,27,13,1518,1518
Precinct,6276103353,439,446,11,5,901,901
Precinct,6276103354,654,680,21,7,1362,1362
Precinct,6276103375,545,499,19,9,1072,1072
Precinct,6276103377,425,499,9,2,935,935
Precinct,6276103378,689,728,22,19,1458,1458
Precinct,6276103379,343,443,7,6,799,799
Precinct,6276103380,396,403,6,6,811,811
Precinct,6276103383,512,466,26,9,1013,1013
Precinct,6276103385,270,304,12,4,590,590
Precinct,6276103388,418,658,13,8,1097,1097
Precinct,6283603311,502,379,15,8,904,904
Precinct,6283603322,239,79,12,5,335,335
Precinct,6283603342,693,630,32,11,1366,1366
Precinct,6283603344,778,584,25,16,1403,1403
Precinct,6283603359,0,0,0,0,0,0
Precinct,6283603360,518,387,20,8,933,933
Precinct,6283603371,392,298,13,13,716,716
Precinct,6283603501,288,204,10,5,507,507
Precinct,6283603502,896,824,45,22,1787,1787
Precinct,6283603547,353,308,25,8,694,694
Precinct,6283603549,154,112,10,5,281,281
Precinct,6283603550,22,28,3,2,55,55
Precinct,6283603551,284,160,20,7,471,471
Precinct,6283603556,549,435,28,15,1027,1027
Precinct,6283603557,683,469,26,12,1190,1190
Precinct,6283603561,655,540,33,20,1248,1248
Precinct,6283603562,701,580,24,16,1321,1321
Precinct,6283603563,694,589,24,17,1324,1324
Precinct,6284003310,448,243,17,6,714,714
Precinct,6284003312,745,421,42,20,1228,1228
Precinct,6284003313,406,361,24,14,805,805
Precinct,6284003314,349,244,20,6,619,619
Precinct,6284003315,585,498,29,20,1132,1132
Precinct,6284003386,389,240,21,10,660,660
Precinct,6284003389,45,28,5,0,78,78
Precinct,6284203503,759,252,34,18,1063,1063
Precinct,6284203504,380,153,21,9,563,563
Precinct,6284203505,352,123,18,13,506,506
Precinct,6284203506,537,234,33,4,808,808
Precinct,6284203507,402,188,16,8,614,614
Precinct,6284203508,273,125,20,6,424,424
Precinct,6284203509,285,141,13,5,444,444
Precinct,6284203510,332,180,15,8,535,535
Precinct,6284203511,368,120,19,6,513,513
Precinct,6284203512,378,168,20,7,573,573
Precinct,6284203513,417,144,22,11,594,594
Precinct,6284203523,552,280,34,17,883,883
Precinct,6284203524,290,155,21,10,476,476
Precinct,6284203525,360,160,18,9,547,547
Precinct,6284203526,339,164,17,13,533,533
Precinct,6284203527,462,196,15,9,682,682
Precinct,6284203528,207,95,10,4,316,316
Precinct,6284203529,335,108,19,7,469,469
Precinct,6284203530,358,143,25,16,542,542
Precinct,6284203531,344,189,26,5,564,564
Precinct,6284203532,416,117,23,4,560,560
Precinct,6284203533,632,230,38,10,910,910
Precinct,6284203544,550,213,35,15,813,813
Precinct,6284203545,119,51,7,1,178,178
Precinct,6284203546,374,237,17,14,642,642
Precinct,6284203548,131,58,8,8,205,205
Precinct,6293603552,419,153,21,8,601,601
Precinct,6293603553,543,273,24,13,853,853
Precinct,6294003301,406,356,19,9,790,790
Precinct,6294003316,298,258,25,9,590,590
Precinct,6294003317,417,287,18,12,734,734
Precinct,6294003319,677,507,27,12,1223,1223
Precinct,6294003446,293,315,12,7,627,627
Precinct,6294003447,739,326,36,15,1116,1116
Precinct,6294003448,696,426,27,12,1161,1161
Precinct,6294003449,402,280,22,10,714,714
Precinct,6294003450,389,351,18,10,768,768
Precinct,6294003452,761,498,33,12,1304,1304
Precinct,6294003453,400,231,15,6,652,652
Precinct,6294003454,378,239,25,7,649,649
Precinct,6294003455,523,372,17,4,916,916
Precinct,6294003456,288,267,13,7,575,575
Precinct,6294003457,230,112,21,6,369,369
Precinct,6294003458,491,316,14,27,848,848
Precinct,6294003459,487,365,21,10,883,883
Precinct,6294003461,577,322,32,10,941,941
Precinct,6294003462,510,354,21,15,900,900
Precinct,6294003463,541,417,14,17,989,989
Precinct,6294003464,370,244,9,6,629,629
Precinct,6294103411,585,242,19,12,858,858
Precinct,6294103413,454,166,24,6,650,650
Precinct,6294103414,409,214,20,5,648,648
Precinct,6294103416,606,362,46,21,1035,1035
Precinct,6294103417,421,260,22,10,713,713
Precinct,6294103418,384,238,12,9,643,643
Precinct,6294103419,513,293,9,13,828,828
Precinct,6294103420,704,342,32,18,1096,1096
Precinct,6294103421,238,150,10,4,402,402
Precinct,6294103422,321,160,9,5,495,495
Precinct,6294103423,714,307,22,11,1054,1054
Precinct,6294103425,727,314,31,9,1081,1081
Precinct,6294103426,328,192,11,5,536,536
Precinct,6294103427,688,389,26,7,1110,1110
Precinct,6294103428,496,240,24,7,767,767
Precinct,6294103429,339,166,14,6,525,525
Precinct,6294103430,446,233,23,9,711,711
Precinct,6294103431,265,142,10,2,419,419
Precinct,6294103432,503,224,28,9,764,764
Precinct,6294103433,383,197,14,7,601,601
Precinct,6294103434,506,235,26,9,776,776
Precinct,6294103435,515,288,35,14,852,852
Precinct,6294103436,632,216,27,11,886,886
Precinct,6294103437,573,341,35,17,966,966
Precinct,6294103438,562,350,24,15,951,951
Precinct,6294103439,384,296,21,9,710,710
Precinct,6294103440,415,277,4,9,705,705
Precinct,6294103441,400,263,8,10,681,681
Precinct,6294103442,353,250,6,8,617,617
Precinct,6294103443,265,183,1,4,453,453
Precinct,6294103444,286,216,12,9,523,523
Precinct,6294103445,283,221,11,6,521,521
Precinct,6294103451,271,170,16,9,466,466
Precinct,6294103465,230,230,18,7,485,485
Precinct,6294103466,334,288,25,9,656,656
Precinct,6294103467,363,281,25,11,680,680
Precinct,6294103468,316,277,23,10,626,626
Precinct,6294103469,280,150,15,5,450,450
Precinct,6294103470,472,254,23,13,762,762
Precinct,6294103471,419,286,26,8,739,739
Precinct,6294103472,366,267,14,10,657,657
Precinct,6294103473,387,313,15,6,721,721
Precinct,6294103537,502,201,25,9,737,737
Precinct,6294103538,462,295,26,7,790,790
Precinct,6294103539,421,242,15,8,686,686
Precinct,6294103554,457,285,21,11,774,774
Precinct,6294103555,431,209,10,6,656,656
Precinct,6294103558,397,268,13,3,681,681
Precinct,6294103559,307,254,19,5,585,585
Precinct,6294103560,214,116,14,3,347,347
Precinct,6294103564,291,160,16,7,474,474
Precinct,6294203514,283,121,16,10,430,430
Precinct,6294203515,392,214,34,4,644,644
Precinct,6294203516,297,186,19,6,508,508
Precinct,6294203517,306,167,13,9,495,495
Precinct,6294203518,312,111,10,4,437,437
Precinct,6294203519,275,138,12,6,431,431
Precinct,6294203520,382,224,13,13,632,632
Precinct,6294203521,304,162,17,6,489,489
Precinct,6294203522,364,248,16,11,639,639
