"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","Matthew (Matt) Roberson","(Prefers Republican Party)",42555,44.94,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 1","WRITE-IN"," ",132,0.14,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","Steve Tharinger","(Prefers Democratic Party)",52481,55.33,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","Terry Roberts","(Prefers Republican Party)",42265,44.56,"Legislative"
"LEGISLATIVE DISTRICT 24 - State Representative Pos. 2","WRITE-IN"," ",108,0.11,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","Chris Gildon","(Prefers Republican Party)",41862,57.72,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","Kenneth King","(Prefers Democratic Party)",30595,42.19,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Senator","WRITE-IN"," ",64,0.09,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","Michael Keaton","(Prefers Republican Party)",40458,55.93,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","Cameron Severns","(Prefers Democratic Party)",31833,44.01,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 1","WRITE-IN"," ",41,0.06,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","Cyndy Jacobsen","(Prefers Republican Party)",40199,55.73,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","Shellie Willis","(Prefers Democratic Party)",31888,44.2,"Legislative"
"LEGISLATIVE DISTRICT 25 - State Representative Pos. 2","WRITE-IN"," ",51,0.07,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","Adison Richards","(Prefers Democratic Party)",46833,51.77,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","Jesse L. Young","(Prefers Republican Party)",43503,48.09,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 1","WRITE-IN"," ",129,0.14,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Michelle Caldier","(Prefers Republican Party)",49086,54.6,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","Tiffiny Mitchell","(Prefers Democratic Party)",40636,45.2,"Legislative"
"LEGISLATIVE DISTRICT 26 - State Representative Pos. 2","WRITE-IN"," ",187,0.21,"Legislative"
"Legislative District 27 - State Senator","Yasmin Trudeau","(Prefers Democratic Party)",51943,71.75,"Legislative"
"Legislative District 27 - State Senator","Carole Sue Braaten","(Prefers Republican Party)",20327,28.08,"Legislative"
"Legislative District 27 - State Senator","WRITE-IN"," ",124,0.17,"Legislative"
"Legislative District 27 - State Representative Pos. 1","Laurie Jinkins","(Prefers Democratic Party)",51628,71.65,"Legislative"
"Legislative District 27 - State Representative Pos. 1","Ken Paulson","(Prefers Republican Party)",20301,28.18,"Legislative"
"Legislative District 27 - State Representative Pos. 1","WRITE-IN"," ",122,0.17,"Legislative"
"Legislative District 27 - State Representative Pos. 2","Jake Fey","(Prefers Democratic Party)",49311,75.46,"Legislative"
"Legislative District 27 - State Representative Pos. 2","Devin Rydel Kelly","(Prefers Democratic Party)",14825,22.69,"Legislative"
"Legislative District 27 - State Representative Pos. 2","WRITE-IN"," ",1210,1.85,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","T'wina Nobles","(Prefers Democratic Party)",32194,53.76,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","Maia Espinoza","(Prefers Republican Party)",27605,46.1,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Senator","WRITE-IN"," ",88,0.15,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","Mari Leavitt","(Prefers Democratic Party)",34629,58.44,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","Gabe Sachwitz","(Prefers Republican Party)",24549,41.43,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 1","WRITE-IN"," ",75,0.13,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","Dan Bronoske","(Prefers Democratic Party)",34129,57.88,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","Mark Herr","(Prefers Republican Party)",24772,42.01,"Legislative"
"LEGISLATIVE DISTRICT 28 - State Representative Pos. 2","WRITE-IN"," ",66,0.11,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","Melanie Morgan","(Prefers Democratic Party)",31993,68.62,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","Richard Miller","(Prefers Democratic Party)",13152,28.21,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 1","WRITE-IN"," ",1478,3.17,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 2","Sharlett Mena","(Prefers Democratic Party)",39333,93.79,"Legislative"
"LEGISLATIVE DISTRICT 29 - State Representative Pos. 2","WRITE-IN"," ",2604,6.21,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Jamila E. Taylor","(Prefers Democratic Party)",30723,56.15,"Legislative"
"Legislative District 30 - State Representative Pos. 1","Melissa Hamilton","(Prefers Republican Party)",23924,43.73,"Legislative"
"Legislative District 30 - State Representative Pos. 1","WRITE-IN"," ",67,0.12,"Legislative"
"Legislative District 30 - State Representative Pos. 2","Kristine M. Reeves","(Prefers Democratic Party)",32043,58.7,"Legislative"
"Legislative District 30 - State Representative Pos. 2","Quentin Morris","(Prefers Republican Party)",22491,41.2,"Legislative"
"Legislative District 30 - State Representative Pos. 2","WRITE-IN"," ",56,0.1,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 1","Drew Stokesbary","(Prefers Republican Party)",51651,63.62,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 1","Sara Sutterfield","(Prefers Democratic Party)",29451,36.28,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 1","WRITE-IN"," ",79,0.1,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","Joshua Penner","(Prefers Republican Party)",49335,61.08,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","Brian L. Gunn","(Prefers Democratic Party)",31338,38.8,"Legislative"
"LEGISLATIVE DISTRICT 31 - State Representative Pos. 2","WRITE-IN"," ",96,0.12,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 1","Cindy Ryu","(Prefers Democratic Party)",58021,74.16,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 1","Lisa Rezac","(Prefers Republican Party)",20084,25.67,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 1","WRITE-IN"," ",128,0.16,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 2","Lauren Davis","(Prefers Democratic Party)",58169,74.63,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 2","Lori Theis","(Prefers Republican Party)",19661,25.23,"Legislative"
"LEGISLATIVE DISTRICT 32 - State Representative Pos. 2","WRITE-IN"," ",110,0.14,"Legislative"
"Legislative District 33 - State Representative Pos. 1","Tina L. Orwall","(Prefers Democratic Party)",38898,68.99,"Legislative"
"Legislative District 33 - State Representative Pos. 1","George Richter","(Prefers Republican Party)",17423,30.9,"Legislative"
"Legislative District 33 - State Representative Pos. 1","WRITE-IN"," ",60,0.11,"Legislative"
"Legislative District 33 - State Representative Pos. 2","Mia Su-Ling Gregerson","(Prefers Democratic Party)",38152,70.76,"Legislative"
"Legislative District 33 - State Representative Pos. 2","Casey Esmond","(States No Party Preference)",15454,28.66,"Legislative"
"Legislative District 33 - State Representative Pos. 2","WRITE-IN"," ",310,0.57,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 1","Emily Alvarado","(Prefers Democratic Party)",70218,84.88,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 1","Kimberly M. Cloud","(Prefers Republican Party)",12362,14.94,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 1","WRITE-IN"," ",143,0.17,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 2","Joe Fitzgibbon","(Prefers Democratic Party)",69340,83.66,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 2","Jolie Lansdowne","(Prefers Republican Party)",13446,16.22,"Legislative"
"LEGISLATIVE DISTRICT 34 - State Representative Pos. 2","WRITE-IN"," ",96,0.12,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 1","Dan Griffey","(Prefers Republican Party)",65027,94.75,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 1","WRITE-IN"," ",3604,5.25,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 2","Travis Couture","(Prefers Republican Party)",51999,58.58,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 2","James DeHart","(Prefers Democratic Party)",36664,41.31,"Legislative"
"LEGISLATIVE DISTRICT 35 - State Representative Pos. 2","WRITE-IN"," ",97,0.11,"Legislative"
"Legislative District 36 - State Representative Pos. 1","Julia Grant Reed","(Prefers Democratic Party)",77616,98.53,"Legislative"
"Legislative District 36 - State Representative Pos. 1","WRITE-IN"," ",1157,1.47,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Liz Berry","(Prefers Democratic Party)",82201,88.78,"Legislative"
"Legislative District 36 - State Representative Pos. 2","Victoria Palmer","(Prefers Republican Party)",10277,11.1,"Legislative"
"Legislative District 36 - State Representative Pos. 2","WRITE-IN"," ",113,0.12,"Legislative"
"Legislative District 37 - State Representative Pos. 1","Sharon Tomiko Santos","(Prefers Democratic Party)",63074,98.28,"Legislative"
"Legislative District 37 - State Representative Pos. 1","WRITE-IN"," ",1101,1.72,"Legislative"
"Legislative District 37 - State Representative Pos. 2","Chipalo Street","(Prefers Democratic Party)",65363,90.99,"Legislative"
"Legislative District 37 - State Representative Pos. 2","Matt McCally","(Prefers Libertarian Party)",6115,8.51,"Legislative"
"Legislative District 37 - State Representative Pos. 2","WRITE-IN"," ",355,0.49,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 1","Julio Cortes","(Prefers Democratic Party)",41335,71.12,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 1","Annie Fitzgerald","(Prefers Democratic Party)",14810,25.48,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 1","WRITE-IN"," ",1975,3.4,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 2","Mary Fosse","(Prefers Democratic Party)",39209,59.46,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 2","Marnie Claywell","(Prefers Republican Party)",26627,40.38,"Legislative"
"LEGISLATIVE DISTRICT 38 - State Representative Pos. 2","WRITE-IN"," ",106,0.16,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Senator","Keith L. Wagoner","(Prefers Republican Party)",49809,60.45,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Senator","John Snow","(Prefers Democratic Party)",32505,39.45,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Senator","WRITE-IN"," ",83,0.1,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","Sam Low","(Prefers Republican Party)",44515,58.9,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","Robert J. Sutherland","(Prefers Republican Party)",29909,39.58,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 1","WRITE-IN"," ",1147,1.52,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 2","Carolyn Eslick","(Prefers Republican Party)",45612,62.57,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 2","Jackie Huey","(Prefers Republican Party)",25802,35.4,"Legislative"
"LEGISLATIVE DISTRICT 39 - State Representative Pos. 2","WRITE-IN"," ",1479,2.03,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Senator","Elizabeth (Liz) Lovelett","(Prefers Democratic Party)",62064,69.52,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Senator","Charles Carrell","(Prefers Republican Party)",27091,30.35,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Senator","WRITE-IN"," ",118,0.13,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 1","Debra Lekanoff","(Prefers Democratic Party)",63993,96.15,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 1","WRITE-IN"," ",2565,3.85,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 2","Alex Ramel","(Prefers Democratic Party)",63215,95.72,"Legislative"
"LEGISLATIVE DISTRICT 40 - State Representative Pos. 2","WRITE-IN"," ",2828,4.28,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Senator","Lisa Wellman","(Prefers Democratic Party)",51903,69.06,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Senator","Jaskaran Singh Sarao","(Prefers Republican Party)",23102,30.74,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Senator","WRITE-IN"," ",155,0.21,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","Tana Senn","(Prefers Democratic Party)",50823,67.54,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","Emily Tadlock","(Prefers Republican Party)",24305,32.3,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 1","WRITE-IN"," ",124,0.16,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 2","My-Linh Thai","(Prefers Democratic Party)",49577,65.69,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 2","Al Rosenthal","(Prefers Republican Party)",25821,34.21,"Legislative"
"LEGISLATIVE DISTRICT 41 - State Representative Pos. 2","WRITE-IN"," ",72,0.1,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 1","Alicia Rule","(Prefers Democratic Party)",49802,55.35,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 1","Raymond Pelletti","(Prefers Republican Party)",40090,44.56,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 1","WRITE-IN"," ",86,0.1,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 2","Joe Timmons","(Prefers Democratic Party)",47947,53.33,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 2","Kamal Bhachu","(Prefers Republican Party)",41894,46.59,"Legislative"
"LEGISLATIVE DISTRICT 42 - State Representative Pos. 2","WRITE-IN"," ",72,0.08,"Legislative"
"Legislative District 43 - State Representative Pos. 1","Nicole Macri","(Prefers Democratic Party)",65596,98.48,"Legislative"
"Legislative District 43 - State Representative Pos. 1","WRITE-IN"," ",1015,1.52,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Shaun Scott","(Prefers Democratic Party)",49990,68.43,"Legislative"
"Legislative District 43 - State Representative Pos. 2","Andrea Suarez","(Prefers Democratic Party)",22506,30.81,"Legislative"
"Legislative District 43 - State Representative Pos. 2","WRITE-IN"," ",554,0.76,"Legislative"
"Legislative District 44 - State Representative Pos. 1","Brandy Donaghy","(Prefers Democratic Party)",51557,93.59,"Legislative"
"Legislative District 44 - State Representative Pos. 1","WRITE-IN"," ",3531,6.41,"Legislative"
"Legislative District 44 - State Representative Pos. 2","April Berg","(Prefers Democratic Party)",43155,57.59,"Legislative"
"Legislative District 44 - State Representative Pos. 2","Sam Sim","(Prefers Republican Party)",31714,42.32,"Legislative"
"Legislative District 44 - State Representative Pos. 2","WRITE-IN"," ",62,0.08,"Legislative"
"Legislative District 45 - State Representative Pos. 1","Roger Goodman","(Prefers Democratic Party)",58368,96.01,"Legislative"
"Legislative District 45 - State Representative Pos. 1","WRITE-IN"," ",2424,3.99,"Legislative"
"Legislative District 45 - State Representative Pos. 2","Larry Springer","(Prefers Democratic Party)",38347,55.56,"Legislative"
"Legislative District 45 - State Representative Pos. 2","Melissa Demyan","(Prefers Democratic Party)",29191,42.3,"Legislative"
"Legislative District 45 - State Representative Pos. 2","WRITE-IN"," ",1478,2.14,"Legislative"
"Legislative District 46 - State Representative Pos. 1","Gerry Pollet","(Prefers Democratic Party)",72727,87.42,"Legislative"
"Legislative District 46 - State Representative Pos. 1","Beth Daranciang","(Prefers Republican Party)",10353,12.44,"Legislative"
"Legislative District 46 - State Representative Pos. 1","WRITE-IN"," ",117,0.14,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Darya Farivar","(Prefers Democratic Party)",70952,86.49,"Legislative"
"Legislative District 46 - State Representative Pos. 2","Simone Barron","(Prefers Republican Party)",10832,13.2,"Legislative"
"Legislative District 46 - State Representative Pos. 2","WRITE-IN"," ",248,0.3,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Debra Jean Entenman","(Prefers Democratic Party)",35528,56.26,"Legislative"
"Legislative District 47 - State Representative Pos. 1","Kyle Lyebyedyev","(Prefers Republican Party)",27513,43.57,"Legislative"
"Legislative District 47 - State Representative Pos. 1","WRITE-IN"," ",106,0.17,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Chris Stearns","(Prefers Democratic Party)",35085,55.64,"Legislative"
"Legislative District 47 - State Representative Pos. 2","Ted Cooke","(Prefers Republican Party)",27870,44.2,"Legislative"
"Legislative District 47 - State Representative Pos. 2","WRITE-IN"," ",101,0.16,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Vandana Slatter","(Prefers Democratic Party)",39645,68.27,"Legislative"
"Legislative District 48 - State Representative Pos. 1","Lynn Trinh","(Prefers Republican Party)",18330,31.57,"Legislative"
"Legislative District 48 - State Representative Pos. 1","WRITE-IN"," ",94,0.16,"Legislative"
"Legislative District 48 - State Representative Pos. 2","Amy Walen","(Prefers Democratic Party)",43664,95.74,"Legislative"
"Legislative District 48 - State Representative Pos. 2","WRITE-IN"," ",1945,4.26,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Senator","Annette Cleveland","(Prefers Democratic Party)",42161,61.76,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Senator","Lucia Worthington","(Prefers Republican Party)",25936,37.99,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Senator","WRITE-IN"," ",170,0.25,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 1","Sharon Wylie","(Prefers Democratic Party)",43234,63.47,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 1","Brett Graham","(Prefers Republican Party)",24741,36.32,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 1","WRITE-IN"," ",139,0.2,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 2","Monica Jurado Stonier","(Prefers Democratic Party)",42950,63.07,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 2","Russell Barber","(Prefers Republican Party)",24997,36.71,"Legislative"
"LEGISLATIVE DISTRICT 49 - State Representative Pos. 2","WRITE-IN"," ",152,0.22,"Legislative"
"SUPREME COURT - Justice Position #02","Sal Mungia","",1644253,50.05,"Judicial"
"SUPREME COURT - Justice Position #02","Dave Larson","",1624309,49.44,"Judicial"
"SUPREME COURT - Justice Position #02","WRITE-IN"," ",16654,0.51,"Judicial"
"SUPREME COURT - Justice Position #08","Steve Gonzalez","",2564372,97.64,"Judicial"
"SUPREME COURT - Justice Position #08","WRITE-IN"," ",61866,2.36,"Judicial"
"SUPREME COURT - Justice Position #09","Sheryl Gordon McCloud","",2534783,97.48,"Judicial"
"SUPREME COURT - Justice Position #09","WRITE-IN"," ",65479,2.52,"Judicial"
"Court of Appeals, Division 1, District 1 - Judge Position 4","Leonard J. Feldman","",728029,97.96,"Judicial"
"Court of Appeals, Division 1, District 1 - Judge Position 4","WRITE-IN"," ",15154,2.04,"Judicial"
"Court of Appeals, Division 1, District 1 - Judge Position 7","Janet S. Chung","",724336,97.91,"Judicial"
"Court of Appeals, Division 1, District 1 - Judge Position 7","WRITE-IN"," ",15482,2.09,"Judicial"
"Court of Appeals, Division 1, District 3 - Judge Position 1","Cecily C. Hazelrigg","",163845,98.11,"Judicial"
"Court of Appeals, Division 1, District 3 - Judge Position 1","WRITE-IN"," ",3164,1.89,"Judicial"
"COURT OF APPEALS, DIVISION 2, DISTRICT 1 - Judge Position 3","Linda Lee","",289862,97.73,"Judicial"
"COURT OF APPEALS, DIVISION 2, DISTRICT 1 - Judge Position 3","WRITE-IN"," ",6730,2.27,"Judicial"
"COURT OF APPEALS, DIVISION 2, DISTRICT 2 - Judge Position 2","Rebecca Glasgow","",300669,97.57,"Judicial"
"COURT OF APPEALS, DIVISION 2, DISTRICT 2 - Judge Position 2","WRITE-IN"," ",7489,2.43,"Judicial"
"COURT OF APPEALS, DIVISION 2, DISTRICT 3 - Judge Position 1","Bernard F. Veljacic","",247867,97.47,"Judicial"
"COURT OF APPEALS, DIVISION 2, DISTRICT 3 - Judge Position 1","WRITE-IN"," ",6435,2.53,"Judicial"
"Court of Appeals, Division 3, District 1 - Judge Position 1","John O. Cooney","",233475,97.78,"Judicial"
"Court of Appeals, Division 3, District 1 - Judge Position 1","WRITE-IN"," ",5302,2.22,"Judicial"
"Court of Appeals, Division 3, District 3 - Judge Position 2","Rob Lawrence-Berrey","",123415,97.57,"Judicial"
"Court of Appeals, Division 3, District 3 - Judge Position 2","WRITE-IN"," ",3080,2.43,"Judicial"
"Adams Superior Court  - Judge Position 1","K. Peter Palubicki","",3882,96.98,"Judicial"
"Adams Superior Court  - Judge Position 1","WRITE-IN"," ",121,3.02,"Judicial"
"Asotin, Columbia, Garfield Superior Court - Judge Position 1","Brooke J. Burns","",11163,97.9,"Judicial"
"Asotin, Columbia, Garfield Superior Court - Judge Position 1","WRITE-IN"," ",239,2.1,"Judicial"
"Benton, Franklin Superior Court - Judge Position 5","Bronson J. Brown","",57880,50.8,"Judicial"
"Benton, Franklin Superior Court - Judge Position 5","Shawn P. Sant","",55586,48.78,"Judicial"
"Benton, Franklin Superior Court - Judge Position 5","WRITE-IN"," ",475,0.42,"Judicial"
"Chelan Superior Court - Judge Position 1","Robert E. Jourdan","",25026,98.87,"Judicial"
"Chelan Superior Court - Judge Position 1","WRITE-IN"," ",287,1.13,"Judicial"
"Chelan Superior Court - Judge Position 2","Travis Brandt","",25943,98.97,"Judicial"
"Chelan Superior Court - Judge Position 2","WRITE-IN"," ",270,1.03,"Judicial"
"Chelan Superior Court - Judge Position 3","Kristin Ferrera","",26144,98.88,"Judicial"
"Chelan Superior Court - Judge Position 3","WRITE-IN"," ",297,1.12,"Judicial"
"Clallam Superior Court - Judge Position 1","Elizabeth Stanley","",28482,98.53,"Judicial"
"Clallam Superior Court - Judge Position 1","WRITE-IN"," ",424,1.47,"Judicial"
"Clallam Superior Court - Judge Position 2","Simon Barnhart","",27121,97.95,"Judicial"
"Clallam Superior Court - Judge Position 2","WRITE-IN"," ",567,2.05,"Judicial"
"Clallam Superior Court - Judge Position 3","Brent Basden","",28769,98.19,"Judicial"
"Clallam Superior Court - Judge Position 3","WRITE-IN"," ",529,1.81,"Judicial"
"Douglas Superior Court  - Judge Position 1","Brian C. Huber","",14025,97.54,"Judicial"
"Douglas Superior Court  - Judge Position 1","WRITE-IN"," ",353,2.46,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 1","Lisa Malpass Childress","",20790,60.43,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 1","N. Smith &quot;Smitty&quot; Hagopian","",13437,39.06,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 1","WRITE-IN"," ",177,0.51,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 2","Jessica Taylor Reeves","",26106,98.13,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 2","WRITE-IN"," ",497,1.87,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 3","Lech J. Radzimski","",26234,98.19,"Judicial"
"Ferry, Pend Oreille, Stevens Superior Court - Judge Position 3","WRITE-IN"," ",483,1.81,"Judicial"
"GRAYS HARBOR SUPERIOR COURT - Judge Position 1","Katie Svoboda","",24922,97.76,"Judicial"
"GRAYS HARBOR SUPERIOR COURT - Judge Position 1","WRITE-IN"," ",570,2.24,"Judicial"
"GRAYS HARBOR SUPERIOR COURT - Judge Position 2","Vini Samuel","",24174,97.24,"Judicial"
"GRAYS HARBOR SUPERIOR COURT - Judge Position 2","WRITE-IN"," ",687,2.76,"Judicial"
"GRAYS HARBOR SUPERIOR COURT - Judge Position 3","David Mistachkin","",14734,47.45,"Judicial"
"GRAYS HARBOR SUPERIOR COURT - Judge Position 3","Steve Jackson","",16119,51.91,"Judicial"
"GRAYS HARBOR SUPERIOR COURT - Judge Position 3","WRITE-IN"," ",201,0.65,"Judicial"
"Island Superior Court - Judge Position 1","Christon C. Skinner","",30613,97.76,"Judicial"
"Island Superior Court - Judge Position 1","WRITE-IN"," ",703,2.24,"Judicial"
"Island Superior Court - Judge Position 2","Carolyn Cliff","",31397,97.74,"Judicial"
"Island Superior Court - Judge Position 2","WRITE-IN"," ",727,2.26,"Judicial"
"Jefferson Superior Court - Judge Position 1","Brandon Mack","",16743,98.69,"Judicial"
"Jefferson Superior Court - Judge Position 1","WRITE-IN"," ",223,1.31,"Judicial"
"KING COUNTY SUPERIOR COURT - Judge Position 41","Paul M. Crisalli","",658950,73.43,"Judicial"
"KING COUNTY SUPERIOR COURT - Judge Position 41","Andrew C. Schach","",231765,25.83,"Judicial"
"KING COUNTY SUPERIOR COURT - Judge Position 41","WRITE-IN"," ",6644,0.74,"Judicial"
"Kittitas Superior Court - Judge Position 1","Chris Herion","",11228,50.97,"Judicial"
"Kittitas Superior Court - Judge Position 1","Matt Mills","",10675,48.46,"Judicial"
"Kittitas Superior Court - Judge Position 1","WRITE-IN"," ",127,0.58,"Judicial"
"Kittitas Superior Court - Judge Position 2","James Kirkham","",11594,51.64,"Judicial"
"Kittitas Superior Court - Judge Position 2","Patricia Todd","",10765,47.94,"Judicial"
"Kittitas Superior Court - Judge Position 2","WRITE-IN"," ",94,0.42,"Judicial"
"Klickitat, Skamania Superior Court - Judge Position 1","Randall Krog","",12336,98.24,"Judicial"
"Klickitat, Skamania Superior Court - Judge Position 1","WRITE-IN"," ",221,1.76,"Judicial"
"LEWIS SUPERIOR COURT - Judge Position 1","J Andrew Toynbee","",28770,98.56,"Judicial"
"LEWIS SUPERIOR COURT - Judge Position 1","WRITE-IN"," ",420,1.44,"Judicial"
"LEWIS SUPERIOR COURT - Judge Position 2","Paul A. Strophy","",28166,98.4,"Judicial"
"LEWIS SUPERIOR COURT - Judge Position 2","WRITE-IN"," ",457,1.6,"Judicial"
"LEWIS SUPERIOR COURT - Judge Position 3","Joely Yeager","",28481,98.65,"Judicial"
"LEWIS SUPERIOR COURT - Judge Position 3","WRITE-IN"," ",391,1.35,"Judicial"
"Lincoln Superior Court - SUPERIOR COURT JUDGE","Adam Walser","",4410,69,"Judicial"
"Lincoln Superior Court - SUPERIOR COURT JUDGE","Victoria S Iverson","",1954,30.57,"Judicial"
"Lincoln Superior Court - SUPERIOR COURT JUDGE","WRITE-IN"," ",27,0.42,"Judicial"
"Mason Superior Court - Judge Position 1","David Stevens","",22538,97.63,"Judicial"
"Mason Superior Court - Judge Position 1","WRITE-IN"," ",547,2.37,"Judicial"
"Mason Superior Court - Judge Position 2","Monty D Cobb","",21567,96.6,"Judicial"
"Mason Superior Court - Judge Position 2","WRITE-IN"," ",758,3.4,"Judicial"
