"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"CONGRESSIONAL DISTRICT 8 - U.S. Representative","Carmen Goers","(Prefers Republican Party)",190675,45.8,"Congressional"
"CONGRESSIONAL DISTRICT 8 - U.S. Representative","WRITE-IN"," ",995,0.24,"Congressional"
"Congressional District 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",182780,65.44,"Congressional"
"Congressional District 9 - U.S. Representative","Melissa Chaudhry","(Prefers Democratic Party)",90601,32.44,"Congressional"
"Congressional District 9 - U.S. Representative","WRITE-IN"," ",5917,2.12,"Congressional"
"Congressional District 10 - U.S. Representative","Marilyn Strickland","(Prefers Democratic Party)",203732,58.54,"Congressional"
"Congressional District 10 - U.S. Representative","Don Hewett","(Prefers Republican Party)",143492,41.23,"Congressional"
"Congressional District 10 - U.S. Representative","WRITE-IN"," ",820,0.24,"Congressional"
"Governor","Bob Ferguson","(Prefers Democratic Party)",2143368,55.51,"State Executive"
"Governor","Dave Reichert","(Prefers Republican Party)",1709818,44.28,"State Executive"
"Governor","WRITE-IN"," ",8202,0.21,"State Executive"
"Lt. Governor","Denny Heck","(Prefers Democratic Party)",2112132,55.72,"State Executive"
"Lt. Governor","Dan Matthews","(Prefers Republican Party)",1674025,44.16,"State Executive"
"Lt. Governor","WRITE-IN"," ",4376,0.12,"State Executive"
"Secretary of State","Steve Hobbs","(Prefers Democratic Party)",2234420,59.2,"State Executive"
"Secretary of State","Dale Whitaker","(Prefers Republican Party)",1535977,40.7,"State Executive"
"Secretary of State","WRITE-IN"," ",3958,0.1,"State Executive"
"State Treasurer","Mike Pellicciotti","(Prefers Democratic Party)",2148764,57.26,"State Executive"
"State Treasurer","Sharon Hanek","(Prefers Republican Party)",1600370,42.65,"State Executive"
"State Treasurer","WRITE-IN"," ",3261,0.09,"State Executive"
"State Auditor","Pat (Patrice) McCarthy","(Prefers Democratic Party)",2170306,57.99,"State Executive"
"State Auditor","Matt Hawkins","(Prefers Republican Party)",1568750,41.92,"State Executive"
"State Auditor","WRITE-IN"," ",3262,0.09,"State Executive"
"Attorney General","Pete Serrano","(Prefers Republican Party)",1669884,44.33,"State Executive"
